id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
206,Thompson,tube,6.89,1682,0.0029,8.0,8.0,610,5.0
207,Thompson,tube,6.89,2414,0.1092,8.0,8.0,610,4.4
208,Thompson,tube,6.89,2482,0.1005,8.0,8.0,610,4.7
209,Thompson,tube,6.89,2495,0.1088,8.0,8.0,610,4.2
210,Thompson,tube,6.89,2563,0.0606,8.0,8.0,610,4.7
211,Thompson,tube,6.89,2631,0.0141,8.0,8.0,610,5.3
212,Thompson,tube,6.89,4069,0.1294,9.3,9.3,1359,2.6
213,Thompson,tube,7.00,4069,0.1284,9.3,9.3,1359,2.6
214,Thompson,tube,7.03,4069,0.1946,9.3,9.3,1359,2.3
215,Thompson,tube,7.03,4069,0.0666,9.3,9.3,1359,3.3
216,Thompson,tube,6.89,4069,0.1722,9.3,9.3,1727,2.4
217,Thompson,tube,6.93,4069,0.0944,9.3,9.3,1727,2.8
218,Thompson,tube,6.93,4069,0.0944,9.3,9.3,1727,2.8
219,Thompson,tube,7.00,4069,0.1714,9.3,9.3,1727,2.4
220,Thompson,tube,6.89,3635,0.0503,10.3,10.3,762,3.1
221,Thompson,tube,6.89,3648,0.0551,10.3,10.3,762,3.2
222,Thompson,tube,6.89,3662,0.0491,10.3,10.3,762,3.1
223,Thompson,tube,6.89,3757,0.0087,10.3,10.3,762,3.9
224,Thompson,tube,6.89,3797,-0.0220,10.3,10.3,762,4.8
225,Thompson,tube,6.89,3811,-0.0229,10.3,10.3,762,4.8
226,Thompson,tube,6.89,3825,0.0051,10.3,10.3,762,3.9
227,Thompson,tube,6.89,3825,0.0051,10.3,10.3,762,3.9
228,Thompson,tube,6.89,3825,0.0051,10.3,10.3,762,3.9
229,Thompson,tube,6.89,3947,-0.0259,10.3,10.3,762,3.4
230,Thompson,tube,6.89,3960,-0.0322,10.3,10.3,762,4.8
231,Thompson,tube,6.89,3987,-0.0289,10.3,10.3,762,4.9
232,Thompson,tube,6.89,3987,-0.0338,10.3,10.3,762,4.8
233,Thompson,tube,6.89,3987,-0.0338,10.3,10.3,762,4.8
234,Thompson,tube,6.89,4001,-0.0297,10.3,10.3,762,4.9
235,Thompson,tube,6.89,4042,-0.0321,10.3,10.3,762,4.9
236,Thompson,tube,6.89,4042,-0.0008,10.3,10.3,762,4.0
237,Thompson,tube,6.89,4055,-0.0329,10.3,10.3,762,4.9
238,Thompson,tube,6.89,4055,-0.0329,10.3,10.3,762,4.9
239,Thompson,tube,6.89,5425,0.0133,10.3,10.3,762,3.6
240,Thompson,tube,6.89,5425,0.0133,10.3,10.3,762,3.6
241,Thompson,tube,6.89,5438,0.0130,10.3,10.3,762,3.6
242,Thompson,tube,6.89,5696,-0.0261,10.3,10.3,762,4.9
243,Thompson,tube,6.89,5696,-0.0261,10.3,10.3,762,4.9
244,Thompson,tube,6.89,5723,-0.0269,10.3,10.3,762,4.9
245,Thompson,tube,6.89,5778,-0.0251,10.3,10.3,762,5.0
246,Thompson,tube,6.89,5778,-0.0251,10.3,10.3,762,5.0
247,Thompson,tube,6.89,5818,-0.0229,10.3,10.3,762,5.1
248,Thompson,tube,6.89,5859,-0.0274,10.3,10.3,762,5.0
249,Thompson,tube,6.89,5859,-0.0375,10.3,10.3,762,4.7
250,Thompson,tube,6.89,5913,-0.0257,10.3,10.3,762,5.1
251,Thompson,tube,6.89,6049,-0.0591,10.3,10.3,762,6.5
252,Thompson,tube,6.89,6049,-0.0591,10.3,10.3,762,6.5
253,Thompson,tube,6.89,6049,-0.0591,10.3,10.3,762,6.5
254,Thompson,tube,6.89,6049,-0.0591,10.3,10.3,762,6.5
255,Thompson,tube,6.89,6062,-0.0563,10.3,10.3,762,6.6
256,Thompson,tube,6.89,6062,-0.0595,10.3,10.3,762,6.5
257,Thompson,tube,6.89,6076,-0.0600,10.3,10.3,762,6.5
258,Thompson,tube,6.89,6089,-0.0573,10.3,10.3,762,6.6
259,Thompson,tube,6.89,6103,-0.0609,10.3,10.3,762,6.5
260,Thompson,tube,6.89,7202,-0.0025,10.3,10.3,762,4.2
261,Thompson,tube,6.89,7229,-0.0029,10.3,10.3,762,4.2
262,Thompson,tube,6.89,7269,-0.0035,10.3,10.3,762,4.2
263,Thompson,tube,6.89,7554,-0.0416,10.3,10.3,762,5.9
264,Thompson,tube,6.89,7554,-0.0416,10.3,10.3,762,5.9
265,Thompson,tube,6.89,7554,-0.0416,10.3,10.3,762,5.9
266,Thompson,tube,6.89,7961,-0.0825,10.3,10.3,762,7.6
267,Thompson,tube,6.89,3933,-0.0098,10.3,10.3,794,5.0
268,Thompson,tube,6.89,3933,-0.0047,10.3,10.3,794,5.1
269,Thompson,tube,6.89,4001,-0.0092,10.3,10.3,794,5.1
270,Thompson,tube,6.89,4218,-0.0225,10.3,10.3,794,5.1
271,Thompson,tube,6.89,4218,-0.0274,10.3,10.3,794,5.0
272,Thompson,tube,6.89,4286,-0.0264,10.3,10.3,794,5.1
273,Thompson,tube,6.89,4286,-0.0264,10.3,10.3,794,5.1
274,Thompson,tube,6.89,4503,-0.0427,10.3,10.3,794,5.0
275,Thompson,tube,6.89,4611,-0.0029,10.3,10.3,794,4.4
276,Thompson,tube,6.89,5181,-0.0369,10.3,10.3,794,5.9
277,Thompson,tube,6.89,5221,-0.0386,10.3,10.3,794,5.9
278,Thompson,tube,6.89,5221,-0.0386,10.3,10.3,794,5.9
279,Thompson,tube,6.89,5289,-0.0378,10.3,10.3,794,6.0
280,Thompson,tube,6.89,5371,-0.0413,10.3,10.3,794,6.0
281,Thompson,tube,6.89,5506,-0.0469,10.3,10.3,794,6.0
282,Thompson,tube,6.89,5547,-0.0522,10.3,10.3,794,5.9
283,Thompson,tube,6.89,5723,-0.0553,10.3,10.3,794,6.0
284,Thompson,tube,6.89,5859,-0.0200,10.3,10.3,794,5.1
285,Thompson,tube,6.89,6117,-0.0624,10.3,10.3,794,6.2
286,Thompson,tube,6.89,6212,-0.0268,10.3,10.3,794,5.2
287,Thompson,tube,6.89,6266,-0.0283,10.3,10.3,794,5.2
288,Thompson,tube,6.89,6279,-0.0482,10.3,10.3,794,6.8
289,Thompson,tube,6.89,6347,-0.0240,10.3,10.3,794,5.4
290,Thompson,tube,6.89,6551,-0.0325,10.3,10.3,794,5.3
291,Thompson,tube,6.89,6618,-0.0596,10.3,10.3,794,6.8
292,Thompson,tube,6.89,6618,-0.0534,10.3,10.3,794,7.0
293,Thompson,tube,6.89,6795,-0.0620,10.3,10.3,794,6.9
294,Thompson,tube,6.89,6795,-0.0590,10.3,10.3,794,7.0
295,Thompson,tube,6.89,6795,-0.0590,10.3,10.3,794,7.0
296,Thompson,tube,6.89,6971,-0.0585,10.3,10.3,794,7.2
297,Thompson,tube,6.89,6971,-0.0614,10.3,10.3,794,7.1
298,Thompson,tube,6.89,6998,-0.0651,10.3,10.3,794,7.0
299,Thompson,tube,6.89,6998,-0.0622,10.3,10.3,794,7.1
300,Thompson,tube,6.89,7432,-0.0523,10.3,10.3,794,7.9
301,Thompson,tube,6.89,7690,-0.0569,10.3,10.3,794,8.0
302,Thompson,tube,6.89,7785,-0.0569,10.3,10.3,794,8.1
303,Thompson,tube,6.89,7853,-0.0417,10.3,10.3,794,6.0
304,Thompson,tube,6.89,7866,-0.0591,10.3,10.3,794,8.1
305,Thompson,tube,6.89,7934,-0.0635,10.3,10.3,794,8.0
306,Thompson,tube,6.93,1017,0.1200,10.8,10.8,216,4.7
307,Thompson,tube,6.86,1031,0.0282,10.8,10.8,216,5.3
308,Thompson,tube,6.86,1031,0.0231,10.8,10.8,216,5.2
309,Thompson,tube,7.00,1017,0.1133,10.8,10.8,216,4.6
310,Thompson,tube,6.86,1858,0.0129,10.8,10.8,216,4.7
311,Thompson,tube,7.14,1858,0.0005,10.8,10.8,216,4.7
312,Thompson,tube,6.86,2034,-0.0927,10.8,10.8,216,5.8
313,Thompson,tube,6.86,2034,-0.0875,10.8,10.8,216,6.0
314,Thompson,tube,6.86,3784,-0.0478,10.8,10.8,216,5.5
315,Thompson,tube,6.93,3784,-0.0479,10.8,10.8,216,5.5
316,Thompson,tube,6.79,4014,-0.1350,10.8,10.8,216,7.7
317,Thompson,tube,6.83,4014,-0.1355,10.8,10.8,216,7.7
318,Thompson,tube,7.03,1031,0.1575,10.8,10.8,432,3.9
319,Thompson,tube,7.14,1031,0.1651,10.8,10.8,432,4.0
320,Thompson,tube,6.79,1763,0.1977,10.8,10.8,432,3.6
321,Thompson,tube,6.79,1763,0.1959,10.8,10.8,432,3.6
322,Thompson,tube,6.79,1899,0.0903,10.8,10.8,432,3.8
323,Thompson,tube,6.86,1899,0.0907,10.8,10.8,432,3.8
324,Thompson,tube,6.72,2034,0.0069,10.8,10.8,432,4.6
325,Thompson,tube,6.72,2034,-0.0015,10.8,10.8,432,4.5
326,Thompson,tube,6.86,3513,0.0809,10.8,10.8,432,3.4
327,Thompson,tube,6.89,3513,0.0823,10.8,10.8,432,3.5
328,Thompson,tube,6.79,3838,-0.0188,10.8,10.8,432,3.9
329,Thompson,tube,6.83,3838,-0.0133,10.8,10.8,432,3.9
330,Thompson,tube,6.72,4001,-0.0801,10.8,10.8,432,5.8
331,Thompson,tube,6.79,4001,-0.0975,10.8,10.8,432,5.4
332,Thompson,tube,6.83,4069,0.0143,10.8,10.8,432,4.1
333,Thompson,tube,6.89,4069,0.0126,10.8,10.8,432,4.1
334,Thompson,tube,6.86,4096,-0.0492,10.8,10.8,432,5.0
335,Thompson,tube,6.86,4096,-0.0440,10.8,10.8,432,5.2
336,Thompson,tube,6.72,2021,0.1210,10.8,10.8,864,3.4
337,Thompson,tube,7.07,2021,0.1112,10.8,10.8,864,3.4
338,Thompson,tube,6.93,3458,0.0763,10.8,10.8,864,2.9
339,Thompson,tube,7.00,3458,0.0731,10.8,10.8,864,2.9
340,Thompson,tube,6.89,3526,0.1388,10.8,10.8,864,2.6
341,Thompson,tube,7.00,3770,0.0477,10.8,10.8,864,3.1
342,Thompson,tube,7.00,3770,0.0534,10.8,10.8,864,3.2
343,Thompson,tube,6.79,3838,0.0028,10.8,10.8,864,4.2
344,Thompson,tube,6.83,3838,0.0049,10.8,10.8,864,4.3
345,Thompson,tube,6.86,4069,0.0617,10.8,10.8,864,3.1
346,Thompson,tube,6.86,4069,-0.0240,10.8,10.8,864,5.2
347,Thompson,tube,6.89,4069,0.0212,10.8,10.8,864,4.1
348,Thompson,tube,6.89,4069,0.0179,10.8,10.8,864,4.1
349,Thompson,tube,6.89,4069,-0.0138,10.8,10.8,864,4.8
350,Thompson,tube,6.89,4069,-0.0257,10.8,10.8,864,5.2
351,Thompson,tube,6.93,4069,0.0196,10.8,10.8,864,4.1
352,Thompson,tube,7.00,4069,0.0636,10.8,10.8,864,3.2
353,Thompson,tube,6.83,4096,-0.0411,10.8,10.8,864,5.4
354,Thompson,tube,6.96,4096,-0.0415,10.8,10.8,864,5.4
355,Thompson,tube,6.89,2007,0.1747,10.8,10.8,841,2.9
356,Thompson,tube,6.86,2010,0.1754,10.8,10.8,841,2.9
357,Thompson,tube,6.90,4048,0.0003,10.8,10.8,864,4.3
358,Thompson,tube,6.96,4054,0.1177,10.8,10.8,864,2.6
359,Thompson,tube,6.86,4056,0.0043,10.8,10.8,864,4.3
360,Thompson,tube,7.00,4056,0.1108,10.8,10.8,864,2.5
361,Thompson,tube,7.03,4059,0.0424,10.8,10.8,864,3.2
362,Thompson,tube,7.03,4062,0.0423,10.8,10.8,864,3.2
363,Thompson,tube,6.93,3943,0.1900,10.8,10.8,1727,2.1
364,Thompson,tube,6.62,4032,0.1423,10.8,10.8,1727,2.4
365,Thompson,tube,6.86,4043,0.1354,10.8,10.8,1727,2.4
366,Thompson,tube,6.93,4059,0.1836,10.8,10.8,1727,2.1
367,Thompson,tube,6.83,4062,0.0637,10.8,10.8,1727,2.8
368,Thompson,tube,6.93,4065,0.0501,10.8,10.8,1727,2.8
369,Thompson,tube,6.93,4066,0.0396,10.8,10.8,1727,2.7
370,Thompson,tube,7.08,4066,0.0487,10.8,10.8,1727,2.8
371,Thompson,tube,6.72,4077,0.0685,10.8,10.8,1727,2.8
372,Thompson,tube,6.89,4056,0.1835,10.8,10.8,3048,2.1
373,Thompson,tube,6.89,4069,0.1651,11.5,11.5,1359,2.5
374,Thompson,tube,6.89,4069,0.1600,11.5,11.5,1727,2.3
375,Thompson,tube,6.89,4069,0.1203,11.5,11.5,1727,2.4
376,Thompson,tube,6.89,4069,0.0989,11.5,11.5,1727,2.7
377,Thompson,tube,6.93,4069,0.1898,11.5,11.5,1727,2.2
378,Thompson,tube,6.93,4069,0.0989,11.5,11.5,1727,2.7
379,Thompson,tube,6.83,4069,0.1891,11.5,11.5,1727,2.2
380,Thompson,tube,6.96,4069,0.1584,11.5,11.5,1727,2.3
