Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
255,2008,9,11,13,TRUE,0.071618037,61,29,11.4,1,10.0,68,21,29.84,27641
255,2008,9,11,16,TRUE,0.310344828,61,29,11.4,1,10.0,75,23,29.81,13835
255,2008,9,11,19,TRUE,0.549071618,61,29,11.4,1,10.0,87,18,29.83,145
255,2008,9,11,22,FALSE,0.787798408,61,29,11.4,1,10.0,87,10,29.86,0
256,2008,9,12,1,FALSE,0.886817577,60,28,11.7,3,10.0,90,13,29.87,0
256,2008,9,12,4,FALSE,0.64713715,60,28,11.7,3,10.0,83,8,29.87,0
256,2008,9,12,7,TRUE,0.407456724,60,28,11.7,4,10.0,86,5,29.9,229
256,2008,9,12,10,TRUE,0.167776298,60,28,11.7,4,9.0,81,7,29.93,4349
256,2008,9,12,13,TRUE,0.071904128,60,28,11.7,1,10.0,68,16,29.88,19126
256,2008,9,12,16,TRUE,0.311584554,60,28,11.7,1,10.0,73,21,29.85,14692
256,2008,9,12,19,TRUE,0.55126498,60,28,11.7,3,10.0,80,13,29.88,436
256,2008,9,12,22,FALSE,0.790945406,60,28,11.7,3,10.0,86,9,29.9,0
257,2008,9,13,1,FALSE,0.886666667,61,29,9.0,3,10.0,80,8,29.9,0
257,2008,9,13,4,FALSE,0.646666667,61,29,9.0,4,10.0,80,6,29.87,0
257,2008,9,13,7,TRUE,0.406666667,61,29,9.0,4,10.0,83,5,29.9,408
257,2008,9,13,10,TRUE,0.166666667,61,29,9.0,4,10.0,72,3,29.93,11376
257,2008,9,13,13,TRUE,0.073333333,61,29,9.0,2,10.0,61,16,29.89,28611
257,2008,9,13,16,TRUE,0.313333333,61,29,9.0,2,10.0,65,17,29.86,14587
257,2008,9,13,19,TRUE,0.553333333,61,29,9.0,1,10.0,81,14,29.89,239
257,2008,9,13,22,FALSE,0.793333333,61,29,9.0,1,10.0,83,7,29.93,0
258,2008,9,14,1,FALSE,0.890227577,62,29,10.1,4,10.0,83,5,29.94,0
258,2008,9,14,4,FALSE,0.649263722,62,29,10.1,4,10.0,87,3,29.94,0
258,2008,9,14,7,TRUE,0.408299866,62,29,10.1,4,10.0,84,5,29.97,250
258,2008,9,14,10,TRUE,0.167336011,62,29,10.1,3,9.0,73,7,30.0,15149
258,2008,9,14,13,TRUE,0.073627845,62,29,10.1,1,10.0,63,15,29.96,28581
258,2008,9,14,16,TRUE,0.3145917,62,29,10.1,1,10.0,68,21,29.94,13787
258,2008,9,14,19,TRUE,0.555555556,62,29,10.1,1,10.0,78,18,29.97,218
258,2008,9,14,22,FALSE,0.796519411,62,29,10.1,1,10.0,83,13,29.99,0
259,2008,9,15,1,FALSE,0.89261745,60,28,12.6,3,10.0,86,9,29.99,0
259,2008,9,15,4,FALSE,0.651006711,60,28,12.6,4,10.0,87,7,29.97,0
259,2008,9,15,7,TRUE,0.409395973,60,28,12.6,4,7.0,90,7,30.01,413
259,2008,9,15,10,TRUE,0.167785235,60,28,12.6,3,7.0,78,5,30.01,17412
259,2008,9,15,13,TRUE,0.073825503,60,28,12.6,1,10.0,63,16,29.95,28239
259,2008,9,15,16,TRUE,0.315436242,60,28,12.6,1,10.0,70,22,29.92,13397
259,2008,9,15,19,TRUE,0.55704698,60,28,12.6,1,10.0,83,18,29.94,193
259,2008,9,15,22,FALSE,0.798657718,60,28,12.6,1,10.0,90,13,29.96,0
260,2008,9,16,1,FALSE,0.894878706,59,28,12.7,2,10.0,90,11,29.97,0
260,2008,9,16,4,FALSE,0.652291105,59,28,12.7,3,10.0,83,9,29.96,0
260,2008,9,16,7,TRUE,0.409703504,59,28,12.7,4,9.0,83,9,29.97,685
260,2008,9,16,10,TRUE,0.167115903,59,28,12.7,3,10.0,72,7,29.98,16170
260,2008,9,16,13,TRUE,0.075471698,59,28,12.7,1,10.0,63,21,29.94,28148
260,2008,9,16,16,TRUE,0.318059299,59,28,12.7,2,10.0,67,20,29.92,13455
260,2008,9,16,19,TRUE,0.5606469,59,28,12.7,1,10.0,80,14,29.95,198
260,2008,9,16,22,FALSE,0.803234501,59,28,12.7,2,10.0,78,11,29.99,0
261,2008,9,17,1,FALSE,0.897297297,62,24,9.6,4,10.0,75,10,30.0,0
261,2008,9,17,4,FALSE,0.654054054,62,24,9.6,4,10.0,72,7,29.99,0
261,2008,9,17,7,TRUE,0.410810811,62,24,9.6,4,10.0,70,3,30.03,332
261,2008,9,17,10,TRUE,0.167567568,62,24,9.6,4,10.0,63,10,30.07,5866
261,2008,9,17,13,TRUE,0.075675676,62,24,9.6,2,10.0,52,10,30.04,22094
261,2008,9,17,16,TRUE,0.318918919,62,24,9.6,0,10.0,54,17,30.01,13893
261,2008,9,17,19,TRUE,0.562162162,62,24,9.6,0,10.0,70,9,30.0,154
261,2008,9,17,22,FALSE,0.805405405,62,24,9.6,0,10.0,72,6,30.01,0
262,2008,9,18,1,FALSE,0.900949796,60,26,7.9,1,10.0,78,6,30.01,0
262,2008,9,18,4,FALSE,0.656716418,60,26,7.9,1,10.0,86,0,29.99,0
262,2008,9,18,7,TRUE,0.412483039,60,26,7.9,1,10.0,83,0,30.02,4342
262,2008,9,18,10,TRUE,0.168249661,60,26,7.9,1,10.0,56,10,30.05,24175
262,2008,9,18,13,TRUE,0.075983718,60,26,7.9,0,10.0,49,15,30.02,29378
262,2008,9,18,16,TRUE,0.320217096,60,26,7.9,0,10.0,51,15,29.98,13686
262,2008,9,18,19,TRUE,0.564450475,60,26,7.9,1,10.0,65,8,29.96,112
262,2008,9,18,22,FALSE,0.808683853,60,26,7.9,0,10.0,67,6,29.98,0
263,2008,9,19,1,FALSE,0.902040816,63,21,7.3,1,10.0,78,3,29.99,0
263,2008,9,19,4,FALSE,0.657142857,63,21,7.3,1,10.0,80,5,29.98,0
263,2008,9,19,7,TRUE,0.412244898,63,21,7.3,1,10.0,80,3,29.99,4232
263,2008,9,19,10,TRUE,0.167346939,63,21,7.3,1,10.0,63,9,30.0,22783
263,2008,9,19,13,TRUE,0.07755102,63,21,7.3,3,10.0,61,9,29.98,24479
263,2008,9,19,16,TRUE,0.32244898,63,21,7.3,4,10.0,63,10,29.97,1628
263,2008,9,19,19,TRUE,0.567346939,63,21,7.3,4,10.0,81,11,29.98,0
263,2008,9,19,22,FALSE,0.812244898,63,21,7.3,3,10.0,81,6,29.99,0
264,2008,9,20,1,FALSE,0.904502046,65,28,10.3,4,10.0,87,8,30.01,0
264,2008,9,20,4,FALSE,0.65893588,65,28,10.3,4,10.0,90,8,30.01,0
264,2008,9,20,7,TRUE,0.413369714,65,28,10.3,4,10.0,84,6,30.03,650
264,2008,9,20,10,TRUE,0.167803547,65,28,10.3,4,10.0,70,9,30.05,9141
264,2008,9,20,13,TRUE,0.077762619,65,28,10.3,2,10.0,63,11,30.03,25527
264,2008,9,20,16,TRUE,0.323328786,65,28,10.3,3,10.0,75,15,30.01,12847
264,2008,9,20,19,TRUE,0.568894952,65,28,10.3,4,10.0,87,14,30.0,122
264,2008,9,20,22,FALSE,0.814461119,65,28,10.3,3,10.0,87,15,30.0,0
265,2008,9,21,1,FALSE,0.906849315,63,27,14.4,3,10.0,87,8,29.97,0
265,2008,9,21,4,FALSE,0.660273973,63,27,14.4,3,10.0,81,13,29.96,0
265,2008,9,21,7,TRUE,0.41369863,63,27,14.4,4,10.0,84,8,29.98,997
265,2008,9,21,10,TRUE,0.167123288,63,27,14.4,2,10.0,70,10,29.99,12786
265,2008,9,21,13,TRUE,0.079452055,63,27,14.4,2,10.0,65,20,29.97,28277
265,2008,9,21,16,TRUE,0.326027397,63,27,14.4,2,10.0,70,24,29.96,12816
265,2008,9,21,19,TRUE,0.57260274,63,27,14.4,1,10.0,78,16,29.94,81
265,2008,9,21,22,FALSE,0.819178082,63,27,14.4,1,10.0,84,11,29.96,0
266,2008,9,22,1,FALSE,0.909340659,66,29,7.3,1,10.0,87,0,29.96,0
266,2008,9,22,4,FALSE,0.662087912,66,29,7.3,0,10.0,86,3,29.95,0
266,2008,9,22,7,TRUE,0.414835165,66,29,7.3,1,10.0,81,0,30.0,4026
266,2008,9,22,10,TRUE,0.167582418,66,29,7.3,1,10.0,70,5,30.02,23081
266,2008,9,22,13,TRUE,0.07967033,66,29,7.3,1,10.0,34,16,29.99,27284
266,2008,9,22,16,TRUE,0.326923077,66,29,7.3,0,10.0,48,17,29.96,12287
266,2008,9,22,19,TRUE,0.574175824,66,29,7.3,1,10.0,70,16,29.95,79
266,2008,9,22,22,FALSE,0.821428571,66,29,7.3,0,10.0,78,8,29.97,0
267,2008,9,23,1,FALSE,0.913103448,69,29,8.7,0,10.0,81,6,29.97,0
267,2008,9,23,4,FALSE,0.664827586,69,29,8.7,0,10.0,75,3,29.96,0
267,2008,9,23,7,TRUE,0.416551724,69,29,8.7,1,9.0,84,3,29.98,3974
267,2008,9,23,10,TRUE,0.168275862,69,29,8.7,0,9.0,73,5,29.99,23119
267,2008,9,23,13,TRUE,0.08,69,29,8.7,0,10.0,66,6,29.94,26858
267,2008,9,23,16,TRUE,0.328275862,69,29,8.7,0,10.0,37,21,29.9,12109
267,2008,9,23,19,TRUE,0.576551724,69,29,8.7,0,10.0,56,18,29.91,65
267,2008,9,23,22,FALSE,0.824827586,69,29,8.7,0,10.0,75,11,29.94,0
268,2008,9,24,1,FALSE,0.914246196,66,29,10.1,0,10.0,84,3,29.94,0
268,2008,9,24,4,FALSE,0.665283541,66,29,10.1,0,10.0,90,5,29.92,0
268,2008,9,24,7,TRUE,0.416320885,66,29,10.1,1,9.0,90,5,29.94,3749
268,2008,9,24,10,TRUE,0.16735823,66,29,10.1,1,10.0,66,3,29.95,22695
268,2008,9,24,13,TRUE,0.081604426,66,29,10.1,1,10.0,51,13,29.92,27114
268,2008,9,24,16,TRUE,0.330567082,66,29,10.1,1,10.0,49,16,29.89,12017
268,2008,9,24,19,TRUE,0.579529737,66,29,10.1,1,10.0,56,16,29.89,59
268,2008,9,24,22,FALSE,0.828492393,66,29,10.1,0,10.0,62,11,29.92,0
269,2008,9,25,1,FALSE,0.918055556,67,29,9.3,0,10.0,67,3,29.91,0
269,2008,9,25,4,FALSE,0.668055556,67,29,9.3,0,10.0,80,6,29.9,0
269,2008,9,25,7,TRUE,0.418055556,67,29,9.3,2,10.0,70,0,29.93,3894
269,2008,9,25,10,TRUE,0.168055556,67,29,9.3,2,10.0,63,7,29.95,23066
269,2008,9,25,13,TRUE,0.081944444,67,29,9.3,2,10.0,47,15,29.91,27072
269,2008,9,25,16,TRUE,0.331944444,67,29,9.3,2,10.0,57,21,29.88,11864
269,2008,9,25,19,TRUE,0.581944444,67,29,9.3,1,10.0,70,11,29.89,51
269,2008,9,25,22,FALSE,0.831944444,67,29,9.3,0,10.0,81,8,29.91,0
270,2008,9,26,1,FALSE,0.919332406,66,29,10.7,0,10.0,81,6,29.91,0
270,2008,9,26,4,FALSE,0.668984701,66,29,10.7,0,9.0,87,7,29.9,0
270,2008,9,26,7,TRUE,0.418636996,66,29,10.7,2,9.0,84,6,29.93,3661
270,2008,9,26,10,TRUE,0.168289291,66,29,10.7,1,10.0,68,6,29.95,22534
270,2008,9,26,13,TRUE,0.082058414,66,29,10.7,1,10.0,50,13,29.91,26744
270,2008,9,26,16,TRUE,0.33240612,66,29,10.7,1,10.0,68,18,29.9,11627
270,2008,9,26,19,TRUE,0.582753825,66,29,10.7,1,10.0,90,15,29.92,43
270,2008,9,26,22,FALSE,0.83310153,66,29,10.7,1,10.0,90,10,29.94,0
271,2008,9,27,1,FALSE,0.921787709,66,29,9.1,1,10.0,90,10,29.95,0
271,2008,9,27,4,FALSE,0.670391061,66,29,9.1,1,10.0,93,3,29.93,0
271,2008,9,27,7,TRUE,0.418994413,66,29,9.1,1,10.0,93,6,29.95,3615
271,2008,9,27,10,TRUE,0.167597765,66,29,9.1,0,10.0,73,3,29.95,22037
271,2008,9,27,13,TRUE,0.083798883,66,29,9.1,1,10.0,56,6,29.9,26026
271,2008,9,27,16,TRUE,0.335195531,66,29,9.1,1,10.0,59,20,29.85,1728
271,2008,9,27,19,TRUE,0.586592179,66,29,9.1,0,10.0,73,15,29.89,0
271,2008,9,27,22,FALSE,0.837988827,66,29,9.1,1,10.0,81,5,29.92,0
272,2008,9,28,1,FALSE,0.925666199,61,30,12.3,1,10.0,90,13,29.92,0
272,2008,9,28,4,FALSE,0.673211781,61,30,12.3,1,10.0,93,8,29.91,0
272,2008,9,28,7,TRUE,0.420757363,61,30,12.3,1,10.0,93,8,29.94,2406
272,2008,9,28,10,TRUE,0.168302945,61,30,12.3,1,10.0,65,9,29.94,22113
272,2008,9,28,13,TRUE,0.084151473,61,30,12.3,1,10.0,63,20,29.9,26823
272,2008,9,28,16,TRUE,0.336605891,61,30,12.3,1,10.0,70,21,29.89,10798
272,2008,9,28,19,TRUE,0.589060309,61,30,12.3,1,10.0,87,11,29.93,0
272,2008,9,28,22,FALSE,0.841514727,61,30,12.3,2,10.0,90,11,29.96,0
273,2008,9,29,1,FALSE,0.928270042,62,28,8.4,4,10.0,90,8,29.97,0
273,2008,9,29,4,FALSE,0.675105485,62,28,8.4,4,10.0,87,6,29.96,0
273,2008,9,29,7,TRUE,0.421940928,62,28,8.4,4,10.0,87,6,29.96,373
273,2008,9,29,10,TRUE,0.168776371,62,28,8.4,3,10.0,75,5,29.98,13921
273,2008,9,29,13,TRUE,0.084388186,62,28,8.4,2,10.0,63,15,29.94,26393
273,2008,9,29,16,TRUE,0.337552743,62,28,8.4,2,10.0,68,15,29.95,11093
273,2008,9,29,19,TRUE,0.5907173,62,28,8.4,2,10.0,75,11,29.96,47
273,2008,9,29,22,FALSE,0.843881857,62,28,8.4,0,10.0,81,8,29.97,0
274,2008,9,30,1,FALSE,0.93079096,65,29,6.9,0,10.0,81,5,29.98,0
274,2008,9,30,4,FALSE,0.676553672,65,29,6.9,1,10.0,87,5,29.99,0
274,2008,9,30,7,TRUE,0.422316384,65,29,6.9,2,10.0,83,0,30.04,3110
274,2008,9,30,10,TRUE,0.168079096,65,29,6.9,2,10.0,70,3,30.05,21023
274,2008,9,30,13,TRUE,0.086158192,65,29,6.9,2,10.0,50,9,30.01,25702
274,2008,9,30,16,TRUE,0.34039548,65,29,6.9,2,10.0,53,18,29.97,10972
274,2008,9,30,19,TRUE,0.594632768,65,29,6.9,1,10.0,68,15,29.99,0
274,2008,9,30,22,FALSE,0.848870056,65,29,6.9,1,10.0,67,0,30.01,0
275,2008,10,1,1,FALSE,0.933427762,66,29,7.8,1,10.0,67,0,30.0,0
275,2008,10,1,4,FALSE,0.678470255,66,29,7.8,1,10.0,78,5,29.99,0
275,2008,10,1,7,TRUE,0.423512748,66,29,7.8,2,10.0,75,0,29.98,3715
275,2008,10,1,10,TRUE,0.168555241,66,29,7.8,3,10.0,71,3,29.98,18312
275,2008,10,1,13,TRUE,0.086402266,66,29,7.8,3,10.0,50,22,29.95,19583
275,2008,10,1,16,TRUE,0.341359773,66,29,7.8,3,10.0,59,16,29.92,6135
275,2008,10,1,19,TRUE,0.59631728,66,29,7.8,3,10.0,81,8,29.96,178
275,2008,10,1,22,FALSE,0.851274788,66,29,7.8,3,10.0,84,9,29.95,0
276,2008,10,2,1,FALSE,0.937411095,67,27,9.5,3,10.0,84,10,29.94,0
276,2008,10,2,4,FALSE,0.681365576,67,27,9.5,4,10.0,87,6,29.92,0
276,2008,10,2,7,TRUE,0.425320057,67,27,9.5,4,10.0,81,0,29.96,53
276,2008,10,2,10,TRUE,0.169274538,67,27,9.5,3,10.0,73,6,29.98,7496
276,2008,10,2,13,TRUE,0.086770982,67,27,9.5,3,10.0,62,17,29.97,19260
276,2008,10,2,16,TRUE,0.342816501,67,27,9.5,3,10.0,76,9,29.92,4961
276,2008,10,2,19,TRUE,0.59886202,67,27,9.5,3,10.0,87,13,29.91,0
276,2008,10,2,22,FALSE,0.854907539,67,27,9.5,2,10.0,90,16,29.92,0
277,2008,10,3,1,FALSE,0.940085592,65,19,8.5,4,10.0,90,7,29.91,0
277,2008,10,3,4,FALSE,0.683309558,65,19,8.5,3,10.0,87,8,29.86,0
277,2008,10,3,7,TRUE,0.426533524,65,19,8.5,3,10.0,84,5,29.87,1093
277,2008,10,3,10,TRUE,0.169757489,65,19,8.5,3,10.0,73,3,29.87,11844
277,2008,10,3,13,TRUE,0.087018545,65,19,8.5,3,10.0,63,0,29.83,11357
277,2008,10,3,16,TRUE,0.343794579,65,19,8.5,4,10.0,65,9,29.77,3375
277,2008,10,3,19,TRUE,0.600570613,65,19,8.5,4,10.0,70,14,29.76,0
277,2008,10,3,22,FALSE,0.857346648,65,19,8.5,4,3.0,90,13,29.75,0
278,2008,10,4,1,FALSE,0.941344778,64,26,14.4,4,9.0,93,15,29.73,0
278,2008,10,4,4,FALSE,0.683834049,64,26,14.4,4,7.0,90,17,29.75,0
278,2008,10,4,7,TRUE,0.426323319,64,26,14.4,4,8.0,90,8,29.79,1653
278,2008,10,4,10,TRUE,0.168812589,64,26,14.4,3,10.0,81,13,29.84,5957
278,2008,10,4,13,TRUE,0.08869814,64,26,14.4,2,10.0,66,16,29.86,21177
278,2008,10,4,16,TRUE,0.34620887,64,26,14.4,2,10.0,70,15,29.88,9729
278,2008,10,4,19,TRUE,0.603719599,64,26,14.4,1,10.0,81,14,29.91,0
278,2008,10,4,22,FALSE,0.861230329,64,26,14.4,2,10.0,84,18,29.95,0
279,2008,10,5,1,FALSE,0.944045911,65,28,11.1,1,10.0,81,15,29.96,0
279,2008,10,5,4,FALSE,0.68579627,65,28,11.1,1,10.0,84,10,29.96,0
279,2008,10,5,7,TRUE,0.427546628,65,28,11.1,2,10.0,81,8,29.99,2198
279,2008,10,5,10,TRUE,0.169296987,65,28,11.1,3,10.0,57,7,30.01,20493
279,2008,10,5,13,TRUE,0.088952654,65,28,11.1,3,10.0,55,15,30.0,18931
279,2008,10,5,16,TRUE,0.347202296,65,28,11.1,3,10.0,61,11,29.99,11566
279,2008,10,5,19,TRUE,0.605451937,65,28,11.1,1,10.0,81,15,30.01,0
279,2008,10,5,22,FALSE,0.863701578,65,28,11.1,2,10.0,87,14,30.03,0
280,2008,10,6,1,FALSE,0.948126801,66,28,10.5,4,10.0,93,7,30.04,0
280,2008,10,6,4,FALSE,0.688760807,66,28,10.5,4,10.0,90,0,30.05,0
280,2008,10,6,7,TRUE,0.429394813,66,28,10.5,4,9.0,84,5,30.07,532
280,2008,10,6,10,TRUE,0.170028818,66,28,10.5,1,9.0,73,5,30.1,22044
280,2008,10,6,13,TRUE,0.089337176,66,28,10.5,0,10.0,59,3,30.05,27732
280,2008,10,6,16,TRUE,0.34870317,66,28,10.5,1,10.0,70,22,30.05,11398
280,2008,10,6,19,TRUE,0.608069164,66,28,10.5,1,10.0,93,22,30.07,0
280,2008,10,6,22,FALSE,0.867435159,66,28,10.5,3,10.0,93,21,30.1,0
281,2008,10,7,1,FALSE,0.949421965,65,28,10.2,2,10.0,93,14,30.12,0
281,2008,10,7,4,FALSE,0.689306358,65,28,10.2,1,10.0,96,7,30.12,0
281,2008,10,7,7,TRUE,0.429190751,65,28,10.2,3,10.0,96,0,30.16,0
281,2008,10,7,10,TRUE,0.169075145,65,28,10.2,2,7.0,81,3,30.17,15458
281,2008,10,7,13,TRUE,0.091040462,65,28,10.2,0,9.0,71,3,30.11,27357
281,2008,10,7,16,TRUE,0.351156069,65,28,10.2,0,10.0,55,22,30.07,10975
281,2008,10,7,19,TRUE,0.611271676,65,28,10.2,0,10.0,73,16,30.06,0
