Temperature,Dissolved_Oxygen,pH,BioChemical_Oxygen_Demand,Fecal_Streptococci,Nitrate,Fecal_Coliform,Total_Coliform,Conductivity,Water_Quality
15,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5,1
12.5,9.2,7.85,0.7,405.25,1.2,9,810.5,2371,1
12.5,9.05,7.9,1.25,94,1.25,13.9,188,2933.5,1
12,8.85,7.9,2.45,141.5,1.45,20.5,283,4049,1
13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5,1
22,8.2,8.4,0,0,0,0,0,191,0
22,8.2,8.4,0,0,0,0,0,188,0
21.5,7.8,7.95,0,0,0,0,0,116,1
16,8.5,8.1,0.2,0,0,0,0,119,0
22,8.6,8.35,0.1,85,0,23.5,170,399.5,0
20.5,9.3,8.1,0.1,72.25,0,19,144.5,417,0
20.3,7.35,7.9,0.95,58,0.4,15,116,275.5,0
18,6.25,7.95,1.2,19.5,0.8,9,39,636,1
0,7.25,7.95,1.25,42.95,1.5,13.3,85.9,336,0
9.5,8,7.65,0.15,46.5,0.65,10.9,93,146.5,0
10.5,7.8,7.55,0.2,54,0.6,19.4,108,168.5,0
12.25,8.4,7.6,0.2,41,14.05,3,82,669.5,1
12.5,8.35,7.75,0.2,39,0.65,4,78,126.5,0
22,9.2,8.6,0.2,0,0,0,0,172,0
19,8.3,7.5,0.2,31.5,0.4,2,63,184,0
19,8.1,7.2,0.3,35,0.5,2,70,172,0
15,8.2,7.3,0.2,0,0.2,0,0,228,0
18,7.25,7.7,1.55,88,4.15,17,176,1850,1
18,6.5,7.7,3.1,630,4.45,177,1260,3010,1
14.5,7.55,8.35,0.5,87.75,2.3,12,175.5,1697,1
20.75,7,7.65,0.15,31.25,0.2,3,62.5,443.5,0
19,10.1,7.75,1,35,0,33,70,125.5,0
20.5,9.5,7.9,1.1,97.5,0,90,195,354,0
19.5,9.6,7.95,1,37.5,0,38,75,138,0
19,9,7.55,1.5,120,0,145,240,202,0
18,9.3,7.85,1.1,70,0,65,140,71.5,1
0,8.6,7.55,1.55,0,0,0,0,157.5,0
21.25,9,7.25,1.85,1010,0.575,960,2020,210.5,0
21,9.4,7.05,1.35,760,0.55,605,1520,209.5,1
22.5,8.7,7.2,1.95,180,0.47,195,360,221,1
23.5,8.75,7.3,1.7,290,0.435,300,580,227,1
21.5,8.95,7.35,1.75,557.5,0.515,600,1115,227,0
20.5,10.1,7.5,1.7,177.5,0.585,220,355,453.5,0
24.5,8.55,8,2.15,1100,0,850.9,2200,221,0
24,8.5,8.15,2.9,1975,0,2000,3950,275,0
24,8.1,8.2,3.5,2450,0,2500,4900,283,1
24,8.35,8.35,3.35,2275,0,2400,4550,276.5,0
24,8.05,8.25,3.25,2425,0,2550,4850,285.5,0
24,8.05,8.25,3.1,2025,0,2650,4050,284,0
24,7.7,8.25,3.55,2900,0,3250,5800,299.5,0
24,7,8,4.5,22750,0,26000,45500,332.5,0
24,7.6,8.1,4.1,15250,0,14650,30500,305.5,0
22,8.8,8.3,3.45,1800,0.82,3050,3600,329.5,0
22,8.95,8.2,3.4,1775,0.8,2900,3550,331,1
27.4,9.75,8,2.65,8350,1.445,9150,16700,207.5,1
27.55,9.2,8.15,2.95,9500,1.575,9300,19000,209,0
27.7,9.15,8.1,2.7,8850,1.61,8150,17700,259.5,0
27.75,9.35,7.95,2.35,7250,1.52,6250,14500,261,1
24.25,8.2,8.3,2.65,1000,0.69,1050,2000,410,0
24.4,7.55,8.35,3.6,8750,1.07,9000,17500,430,1
24.25,7.85,5.35,3.35,5500,0.945,6500,11000,424,0
25.75,8.6,8.25,2.5,1125,0.18,1100,2250,438,0
25.75,7.2,8.3,3.8,15000,0.275,17000,30000,460,1
26.5,7.9,8.4,3.4,6250,0.23,8000,12500,447,0
24,7.85,8.15,3.6,4400,0,3850,8800,310,0
26.25,7.15,8.4,3.8,13000,0.285,14000,26000,461.5,1
26,8.5,8,2.1,40575,0.195,14225,81150,381,0
26,3.35,7.65,37.5,40087.5,4.85,27023,80175,5730,1
23,1.75,7.65,24,2435,10.4,2775,4870,1000,1
23,2.2,7.55,26.5,1537.5,6.5,760,3075,1179.5,1
23.5,3.05,8.05,19.2,535,5.45,460.5,1070,1035.5,1
28.5,6.5,7.85,11.5,40400,2.2,46110,80800,1110.5,1
0,8.6,7.3,1,8000,0.2,5400,16000,429,0
19,2.6,7.5,27.5,800,0,0,1600,579,1
25,5.2,7.35,4.05,0,0,0,0,348,0
25,1.6,6.65,38,0,0,0,0,452,1
21.5,4.4,7.45,8.4,0,0,0,0,382.5,0
21.5,1.9,7.35,33,0,0,0,0,503,1
25,5.6,7.6,7,0,0,0,0,395,0
16,7.2,7.55,1.5,0,0,0,0,220,0
25,4.6,7.3,7,0,0,0,0,532,1
25,5.5,7.6,6.8,0,0,0,0,398.5,0
21,5.1,7.7,7.9,0,0,0,0,212.5,0
25,5,7.55,9.4,0,0,0,0,377,0
24.5,3.9,7.05,14,0,0,0,0,491.5,1
24.5,5,7.45,7,0,0,0,0,430,0
24.5,8.15,8.3,5.15,6025,0,5800,12050,453,1
27.8,8.2,7.3,0,3900,0.5,2000,7800,175,0
28.2,8.3,7.4,0,6500,0.5,2000,13000,177,0
25.9,6.95,8.15,4.2,14350,1.55,12100,28700,348.5,0
25.9,6.7,8.1,4.4,18375,1.55,17700,36750,354,0
26.25,3,7.6,8.5,65250,2.2,93500,130500,394.5,1
26.25,2.3,7.55,8.95,140500,2.35,128500,281000,402,1
26.25,2.3,8.05,9.3,57500,2.85,62500,115000,518,1
26.25,1.9,7.55,10.1,74750,2.95,109500,149500,526.5,1
26.25,4.1,8.05,4.95,18500,1.35,24100,37000,393,0
26.25,4.45,8.05,4.3,13075,1.35,17350,26150,384.5,0
23.5,6.95,7.95,4.55,3825,0.85,5250,7650,384.5,0
23.5,7.05,7.95,4.55,3800,0.85,4950,7600,379,0
26.5,8.25,8.3,2.85,1200,0.2,1200,2400,408,1
24.5,7,7.35,5.5,13975,0,14750,27950,312,1
23.5,7.55,7.55,4.3,11500,0,11550,23000,293,0
21,9.9,7.8,3,8525,0.5,13200,17050,300,0
23.5,7.2,7.4,4.7,10350,0,7650,20700,1284,1
25.5,7.3,7.3,4.75,10575,0,9650,21150,310,0
25,8.7,7.75,1.9,9025,0.295,8600,18050,273,0
23.75,8.85,8.25,2.05,625,0.45,350,1250,244,0
23.75,8.55,8.3,2.65,1425,0.4,1350,2850,261,0
23.5,7.2,7.6,2.2,15200,0.25,9600,30400,498,1
19.5,7.35,7.25,2.25,3975,0.2,2650,7950,462.5,1
25.5,7.1,7.65,3.8,41700,0.3,15000,83400,278.5,0
30.5,6.75,7.6,3.65,27250,0.2,14850,54500,346,0
26,2.8,6.95,7,42750,0.7,11700,85500,564.5,1
26,3,7.2,5,41575,0.6,11350,83150,251.5,0
25,2.2,7.2,16.4,42750,2.15,27850,85500,690.5,1
25,2.55,7.2,16.3,45500,2.05,32500,91000,687.5,1
24.5,8.25,8,1.6,40350,0.55,11550,80700,236,0
28,8.5,8.15,2.1,24525,0.55,28200,49050,308,0
24,7.95,7.8,1.9,23675,0.25,8890,47350,401.5,1
24.5,4,7.4,3.7,40825,0.35,14225,81650,374.5,0
25.5,4.95,7.4,3.5,13850,0.25,7465,27700,438.5,1
27,7,7.7,2.2,11075,0.35,9350,22150,337,0
27.5,7.85,7.9,2,7275,0.35,5680,14550,322,0
26,6.7,7.8,2.05,10500,0.45,11700,21000,472.5,1
26,4.65,7.3,5.15,42750,0.7,14090,85500,418.5,0
26.5,7.6,7.5,1.2,0,0,0,0,0,0
26.5,9,7.7,2.75,3250,0.55,3750,6500,289.5,0
28,8.3,7.7,2.45,6025,0.6,6250,12050,281.5,0
28,9,7.85,2.45,4600,0.5,4460,9200,423.5,0
26,7.35,7.7,3.7,41750,0.55,11400,83500,670.5,1
26.5,8.6,7.9,2.55,9100,0.55,6955,18200,350.5,0
27.25,8.6,7.85,2.35,3425,0.55,2650,6850,353.5,0
27.75,9.1,7.9,2,9075,0.5,6050,18150,261,0
27.25,8.6,7.7,2.45,3375,0.55,2000,6750,353.5,0
27.5,8.4,7.9,2.55,14175,0.55,3500,28350,372.5,0
28.25,8.7,7.85,2.8,3825,0.5,2350,7650,355.5,0
27.5,4.1,7.7,3.65,229000,0.45,154500,458000,481.5,1
28.5,2.25,7.8,3.8,225750,0.55,150550,451500,477.5,1
26.75,8.35,7.95,2.8,3025,0.55,3200,6050,343,0
27,6.95,7.7,3.6,44250,0.3,18200,88500,448.5,1
27,7.15,7.7,4.2,45250,0.3,46200,90500,546,1
27.5,6.95,7.7,3.65,226000,0.5,251000,452000,417,1
28.5,6.4,7.6,2.2,10250,1.15,7200,20500,3413,1
27,6.5,7.4,2.55,11000,1.65,9600,22000,1217.5,1
21,7.15,7.55,1.65,1165,1.55,700,2330,131.5,0
22.5,6.7,7.3,1.3,307.5,0.8,180.9,615,151.5,0
24,7.55,7.3,1.75,1255,1.45,900,2510,162,1
25,7.35,7.7,1.8,1275,1.7,930,2550,128,0
26,5.9,7.75,1.4,1255,1.15,550.9,2510,136,0
27,7.8,7.9,1.55,1375,1.45,930,2750,124,1
27,7.7,7.55,1.7,700,2,515,1400,123,0
24.5,7.8,7.5,1.75,880,1.55,700,1760,127,0
29,5.75,7.6,1.55,1400,1.2,1150,2800,140.5,1
21.5,5,7.75,2,675.45,1.4,460.9,1350.9,131.5,1
23,7.55,7.6,1.6,1055,1.15,750,2110,106,1
25.5,6.8,7.05,1.95,950,1.3,900,1900,52,0
22,4.75,7.35,3.65,2305,1.7,1360,4610,188,1
24.5,6.95,7.35,1.35,450,1.75,515,900,171,0
24,6.7,7.15,1.35,600,1.05,605,1200,183,1
23,7,7.4,1.3,425,1,330,850,125.5,0
29.5,4.45,7.15,1.95,3590,1.35,330,7180,31.5,0
23.5,5.9,7.15,1.65,450,1.7,515,900,166.5,0
23,7.4,7.4,2.05,790,1.45,515,1580,118.5,0
25,4.45,5.7,1.7,402.5,1.3,330,805,163,0
24,5.9,7.75,1.8,1057.5,1.25,1150,2115,89,1
22,2.3,6.7,2.3,1400,1.5,730,2800,132,0
26,6.25,7.3,3.1,1150,2.8,930,2300,126.5,0
29,5.3,7.3,2.05,950,1.55,900,1900,115.5,1
22.5,5.45,7.15,2.1,650,1.3,545,1300,96,1
23.5,5.5,6.95,2.05,1225,1.2,545,2450,117,0
26,6.45,7.4,2,350,1.55,535,700,149.5,0
23.5,6.5,7.15,1,302.5,1.05,300,605,63,0
27,7.3,7.55,2.1,875,1.05,605,1750,84.5,0
27,7.25,7.75,1.65,58.5,0.65,48,117,429.5,0
27.5,1.7,7.7,27,567.5,0.25,175.5,1135,2096,1
27.5,6.75,7.95,7.55,190,0.85,61.5,380,668.5,1
27.5,6.7,7.85,2.5,111,1.25,64.5,222,692.5,1
27.5,7.6,7.25,0.85,23.75,0.2,1.9,47.5,452,0
27.5,0.8,7.95,123.5,512.5,0.39,366.5,1025,2278.5,1
28,7.3,8,1.85,135,0.65,71,270,328,0
30.5,0,7.5,32.5,2850,0.35,410,5700,1959.5,1
28,7,8.35,1.4,35.5,0.3,10.5,71,245,0
27,7.35,8.05,0.95,12.25,0.1,2.9,24.5,375.5,0
20.4,7.4,7.8,1.55,21.5,0.85,5.9,43,284,0
18.6,7.45,7.75,1.6,23.75,0.95,7.4,47.5,1280,1
23,6.85,7.85,1.8,25.75,0.45,9.9,51.5,244.5,0
22.5,7.65,8.2,1.1,21,0.445,1.8,42,246.5,1
22.5,7.5,8.2,1.3,19.75,0.85,1.8,39.5,352.5,0
23,7.75,8.15,1.2,20.25,0.65,1.8,40.5,313.5,0
20.25,7.7,7.8,1.45,21.5,0.8,6.4,43,259,0
25,8.4,8,1.65,158.5,2.3,10,317,933.5,1
23,7.45,8.3,1,22,0.7,1.8,44,309.5,0
24.5,8,8,2.15,617.5,2.715,25.5,1235,1025,1
25,8.65,8,2.15,552.5,8,56,1105,332,0
22.5,7.1,8.25,1.1,20.75,0.95,9.9,41.5,298.5,0
22.5,7.35,8.2,1.2,21.75,0.75,1.8,43.5,343,0
20.15,7.6,7.75,1.45,0,0.8,1.8,0,281,0
20.05,7.15,7.95,1.5,12.5,0.7,3.9,25,1545,1
18.6,7.5,7.75,1.6,19.5,0.7,5.4,39,302.5,0
18.7,7.5,7.7,1.6,22.5,0.9,7.9,45,325,0
25.5,7.5,7.75,1.6,22,0.6,1.8,44,404,1
24.5,8.5,8.2,1.75,540.75,2.25,32.4,1081.5,255,0
25.6,5.7,7.85,1.6,19.5,1.1,9.9,39,399,0
18.95,7.4,7.75,1.75,22.75,0.95,6.4,45.5,353,0
19.05,7,7.65,2,20.5,0.9,6.4,41,2252,1
23.5,7.1,8.1,1,20.5,0.8,1.8,41,337.5,0
28,6.95,7.85,0.37,28,0.115,25,56,281.5,0
28,6.9,7.95,0.6,27.75,0.15,23,55.5,274,1
25,7.4,7.7,0.55,60.75,0.5,15,121.5,286,0
28,6.75,7.9,0.7,35,0,27,70,1572.5,1
28.5,6.5,7.95,0.9,140,0,79.5,280,9272,1
