,Date,Close,Volume,Open,High,Low
2271,2015-01-22,1300.7,198887,1293.7,1307.8,1279.1
2270,2015-01-23,1292.6,140604,1301.5,1302.9,1284.3
2269,2015-01-26,1279.4,157859,1292.8,1299.2,1275.6
2268,2015-01-27,1292.9,84273,1281.9,1298.6,1273
2267,2015-01-28,1287.2,140642,1293.5,1294.6,1280.2
2266,2015-01-29,1255.9,233577,1284,1286.6,1252.1
2265,2015-01-30,1279.2,156292,1259,1285.4,1257.5
2264,2015-02-02,1276.9,111408,1283,1283.9,1266.5
2263,2015-02-03,1260.3,166935,1275.6,1286.5,1255.8
2262,2015-02-04,1264.5,127140,1261.5,1273.3,1256.9
2261,2015-02-05,1262.7,105045,1270.4,1274.6,1256.1
2260,2015-02-06,1234.6,189154,1266.4,1269,1228.2
2259,2015-02-09,1241.5,86101,1235.9,1243.6,1234.4
2258,2015-02-10,1232.2,92110,1238.3,1245.9,1230.6
2257,2015-02-11,1219.6,109012,1234.1,1238.7,1216.5
2256,2015-02-12,1220.7,103350,1222.9,1232.8,1218
2255,2015-02-13,1227.1,90256,1223,1234.9,1222.5
2253,2015-02-17,1208.6,172721,1230.9,1236.7,1203.3
2252,2015-02-18,1200.2,114178,1209.3,1213.4,1197.2
2251,2015-02-19,1207.6,105113,1209,1222.9,1205.2
2250,2015-02-20,1204.9,103062,1208,1215.3,1197.7
2249,2015-02-23,1200.8,108517,1203.5,1210.3,1190.6
2248,2015-02-24,1197.3,109440,1201.9,1204.4,1190
2247,2015-02-25,1201.5,97588,1200.8,1211.7,1200.7
2246,2015-02-26,1210.1,122100,1203.9,1219.9,1203.4
2245,2015-02-27,1213.1,107382,1208.8,1219.2,1204.1
2244,2015-03-02,1208.2,128222,1213.8,1223,1204.2
2243,2015-03-03,1204.4,146874,1206.1,1214.4,1194.6
2242,2015-03-04,1200.9,99539,1203.8,1208.4,1197.7
2241,2015-03-05,1196.2,125564,1200.2,1208.9,1195.8
2240,2015-03-06,1164.3,204043,1197.5,1200,1162.9
2239,2015-03-09,1166.5,112018,1169.6,1174.4,1164.8
2238,2015-03-10,1160.1,170223,1165.6,1169.6,1153.8
2237,2015-03-11,1150.6,152874,1161.1,1164.3,1146.5
2236,2015-03-12,1151.9,151499,1153.7,1165.7,1147.5
2235,2015-03-13,1152.4,113141,1152.6,1160.9,1150.4
2234,2015-03-16,1153.2,114195,1157.9,1163.3,1149.3
2233,2015-03-17,1148.2,149286,1153.7,1159.3,1141.6
2232,2015-03-18,1151.3,180295,1148.1,1175.1,1144.9
2231,2015-03-19,1169,150727,1166.1,1177,1158.6
2230,2015-03-20,1184.6,155233,1170.4,1187.4,1167.9
2229,2015-03-23,1187.7,157085,1183.2,1191,1178.6
2228,2015-03-24,1191.4,153651,1188.5,1194.5,1184.7
2227,2015-03-25,1197,171373,1192.5,1199.3,1186.1
2226,2015-03-26,1205.7,112028,1196.1,1220.4,1194.8
2225,2015-03-27,1200.7,128583,1204.6,1206.6,1192.6
2224,2015-03-30,1185.3,122724,1198.6,1199.6,1182.2
2223,2015-03-31,1183.2,112462,1185.5,1190.6,1178.2
2222,2015-04-01,1208.2,141610,1183.2,1208.7,1180.5
2221,2015-04-02,1200.9,108884,1204.3,1207.4,1194.8
2219,2015-04-06,1218.6,101351,1212.6,1224.5,1212.6
2218,2015-04-07,1210.6,80561,1208.6,1215.9,1207.5
2217,2015-04-08,1203.1,112371,1208.7,1212.5,1197.4
2216,2015-04-09,1193.6,104647,1202.6,1203.3,1192.4
2215,2015-04-10,1204.6,116251,1193.8,1210.6,1192.9
2214,2015-04-13,1199.3,105226,1207.2,1209.3,1196.1
2213,2015-04-14,1192.6,153692,1198.8,1201.3,1183.5
2212,2015-04-15,1201.3,123923,1192.2,1204.4,1188.3
2211,2015-04-16,1198,151984,1201.8,1208.8,1194.3
2210,2015-04-17,1203.1,107912,1198.6,1207.8,1197
2209,2015-04-20,1193.7,126703,1204.4,1209,1190.8
2208,2015-04-21,1203.1,97120,1195.8,1203.7,1192.5
2207,2015-04-22,1186.9,146503,1202.2,1204.4,1185
2206,2015-04-23,1194.3,110608,1186.9,1197.4,1183.6
2205,2015-04-24,1175,149522,1193,1195.4,1174.1
2204,2015-04-27,1203.2,195125,1179.3,1206.7,1177.6
2203,2015-04-28,1213.9,145628,1201.6,1214.9,1198.6
2202,2015-04-29,1210,134603,1211.4,1213.5,1200.7
2201,2015-04-30,1182.4,196278,1204.5,1207.4,1176
2200,2015-05-01,1174.5,112452,1183.7,1184.4,1168.4
2199,2015-05-04,1186.8,104106,1176.6,1192.1,1176.6
2198,2015-05-05,1193.2,105898,1187.5,1199.3,1184.9
2197,2015-05-06,1190.3,103539,1192.5,1196.9,1187.4
2196,2015-05-07,1182.2,127213,1191.3,1192,1177.9
2195,2015-05-08,1188.9,134106,1183.7,1193,1180.5
2194,2015-05-11,1183,123351,1189,1190.9,1178
2193,2015-05-12,1192.4,133063,1182.5,1196.3,1179.7
2192,2015-05-13,1218.2,225506,1192.5,1218.5,1190.4
2191,2015-05-14,1225.2,162990,1215,1227.7,1211.9
2190,2015-05-15,1225.3,128557,1220.9,1225.8,1210.6
2189,2015-05-18,1227.6,112075,1225.4,1232,1221.2
2188,2015-05-19,1206.7,167820,1225.4,1225.5,1205.1
2187,2015-05-20,1208.7,119129,1207.7,1213.2,1202.7
2186,2015-05-21,1204.1,116552,1209.4,1212.4,1201
2185,2015-05-22,1204,138192,1206,1214.6,1201
2183,2015-05-26,1187.8,91910,1207.3,1208.9,1185.6
2182,2015-05-27,1186.5,139297,1187.5,1191.3,1183.9
2181,2015-05-28,1188.8,141607,1188,1192.8,1180.2
2180,2015-05-29,1189.8,97474,1188.1,1194.4,1186
2179,2015-06-01,1188.7,162133,1189.8,1204.7,1184
2178,2015-06-02,1194.4,106711,1189.5,1196.4,1185.8
2177,2015-06-03,1184.9,117094,1193.8,1195.6,1179.1
2176,2015-06-04,1175.2,144559,1185.8,1186.6,1172.4
2175,2015-06-05,1168.1,142628,1176.5,1178,1162.1
2174,2015-06-08,1173.6,100756,1170.8,1177.1,1168.5
2173,2015-06-09,1177.6,87429,1173.2,1182.3,1171.8
2172,2015-06-10,1186.6,116677,1175.8,1191.8,1174.3
2171,2015-06-11,1180.4,101075,1185.7,1187.4,1174.8
2170,2015-06-12,1179.2,80500,1180.8,1183.7,1175.6
2169,2015-06-15,1185.8,124584,1180,1190.2,1171.9
2168,2015-06-16,1180.9,93967,1185.3,1187.4,1175.4
2167,2015-06-17,1176.8,96054,1181.1,1188.8,1173.9
2166,2015-06-18,1202,174738,1184.2,1205.7,1183.1
2165,2015-06-19,1201.9,79570,1201.8,1204,1198
2164,2015-06-22,1184.1,116780,1199.7,1200.8,1181.6
2163,2015-06-23,1176.6,106625,1185.3,1187.7,1175.6
2162,2015-06-24,1172.9,110046,1177.6,1179.7,1168.1
2161,2015-06-25,1171.8,80598,1174.1,1177.3,1170.5
2160,2015-06-26,1173.2,99904,1172.5,1178,1167.1
2159,2015-06-29,1179,136394,1182.5,1187.6,1173.2
2158,2015-06-30,1171.8,139830,1179.8,1180,1165.4
2157,2015-07-01,1169.3,90598,1172.4,1174.4,1166.7
2156,2015-07-02,1163.5,480,1165.2,1165.6,1163.7
2154,2015-07-06,1173.2,100581,1173.2,1174.4,1161.9
2153,2015-07-07,1152.6,190168,1168.8,1170,1146.8
2152,2015-07-08,1163.5,159002,1154,1163.8,1145.9
2151,2015-07-09,1159.2,122563,1157.5,1166.9,1155.1
2150,2015-07-10,1157.9,106510,1158.7,1164.5,1156.4
2149,2015-07-13,1155.4,118607,1162.3,1163.9,1149.8
2148,2015-07-14,1153.5,103814,1157,1159.1,1151.8
2147,2015-07-15,1147.4,141077,1153.9,1155.8,1141.9
2146,2015-07-16,1143.9,118613,1146.2,1148.2,1140.6
2145,2015-07-17,1131.9,149622,1144.3,1144.5,1129.6
2144,2015-07-20,1106.8,250336,1095,1132.5,1080
2143,2015-07-21,1103.5,163597,1098,1108.8,1095.9
2142,2015-07-22,1091.5,170919,1100.1,1102.3,1085.6
2141,2015-07-23,1094.1,194839,1093.4,1104.9,1086.1
2140,2015-07-24,1085.5,237901,1089.5,1100.9,1072.3
2139,2015-07-27,1096.9,53257,1098.2,1104.9,1088
2138,2015-07-28,1096.7,75543,1094.2,1098.7,1091.1
2137,2015-07-29,1093.3,107835,1094.8,1101.5,1089.8
2136,2015-07-30,1088.7,155535,1096.6,1098.2,1081.5
2135,2015-07-31,1095.1,166766,1087.7,1103,1079.2
2134,2015-08-03,1089.4,102779,1095.1,1098,1085.1
2133,2015-08-04,1090.7,108848,1087.5,1094.4,1080.2
2132,2015-08-05,1085.6,110005,1087.3,1091.7,1082
2131,2015-08-06,1090.1,90012,1084.1,1093.3,1082.7
2130,2015-08-07,1094.1,165051,1088.8,1098.9,1081.4
2129,2015-08-10,1104.1,142965,1094,1108.5,1089
2128,2015-08-11,1107.7,186562,1103.8,1119.1,1093.3
2127,2015-08-12,1123.6,184025,1108.2,1125.5,1101.1
2126,2015-08-13,1115.6,125318,1125.2,1126.3,1112.8
2125,2015-08-14,1112.7,100681,1114.6,1120.4,1111.1
2124,2015-08-17,1118.4,88129,1113.5,1122.2,1112.9
2123,2015-08-18,1116.9,116442,1117.2,1120.4,1108.5
2122,2015-08-19,1127.9,146994,1117.2,1134.3,1115.5
2121,2015-08-20,1153.2,174797,1133.3,1153.7,1132.1
2120,2015-08-21,1159.6,189582,1153.3,1167.9,1148.5
2119,2015-08-24,1153.6,255624,1160.2,1169.8,1145.1
2118,2015-08-25,1138.3,188989,1155.7,1156.3,1134
2117,2015-08-26,1124.6,194126,1139.9,1146,1116.9
2116,2015-08-27,1122.6,119691,1124.4,1131.7,1117
2115,2015-08-28,1134,141784,1124.4,1140.3,1123.1
2114,2015-08-31,1132.5,93050,1132.7,1136.3,1125
2113,2015-09-01,1139.8,124773,1133.8,1147.3,1133.8
2112,2015-09-02,1133.6,106996,1139,1141.9,1131.2
2111,2015-09-03,1124.5,102488,1133.2,1133.8,1121
2110,2015-09-04,1121.4,9777,1123,1124.1,1117
2108,2015-09-08,1121,135811,1118.1,1126,1114.7
2107,2015-09-09,1102,161609,1121,1124.7,1100.1
2106,2015-09-10,1109.3,117042,1105.7,1114.1,1102.5
2105,2015-09-11,1103.3,111507,1110.2,1111.9,1097.7
2104,2015-09-14,1107.7,71350,1107,1109.8,1102.6
2103,2015-09-15,1102.6,75109,1107.1,1108.5,1101.5
2102,2015-09-16,1119,123877,1104.4,1123.7,1103
2101,2015-09-17,1117,135687,1118.7,1136,1114.7
2100,2015-09-18,1137.8,142108,1130,1141.5,1126.9
2099,2015-09-21,1132.8,84042,1138.7,1139.4,1128.7
2098,2015-09-22,1124.8,109509,1132.6,1136.1,1120.5
2097,2015-09-23,1131.5,89262,1123.8,1134,1121.1
2096,2015-09-24,1153.8,200068,1130,1156.4,1129.5
2095,2015-09-25,1145.6,134782,1151,1151.1,1140.1
2094,2015-09-28,1131.7,137003,1145,1147.8,1127.3
2093,2015-09-29,1126.8,100406,1131.4,1134.3,1123.5
2092,2015-09-30,1115.2,148341,1127.2,1127.7,1110.8
2091,2015-10-01,1113.7,76984,1114.5,1118.5,1110.3
2090,2015-10-02,1136.6,178784,1112.5,1140.9,1103.8
2089,2015-10-05,1137.6,110483,1137,1141.6,1129.6
2088,2015-10-06,1146.4,116671,1134.7,1151,1134.5
2087,2015-10-07,1148.7,108785,1146.5,1153.6,1141.3
2086,2015-10-08,1144.3,116155,1145,1150.9,1135.9
2085,2015-10-09,1155.9,129925,1138.1,1159.3,1138
2084,2015-10-12,1164.5,106716,1155,1168.6,1154.3
2083,2015-10-13,1165.4,130049,1162.8,1168.6,1151.3
