Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,Lowest distortion
AcLuO3,Ac,Lu,FALSE,0,0,1.12,1.12,0.86,1.1,1.27,0,2.209114963,-2.643285714,0.788455349,-,0.614285714,orthorhombic
AcMgO3,Ac,Mg,FALSE,0,0,1.12,1.12,0.72,1.1,1.31,0,2.046489492,-2.338285714,0.840523155,-,0.514285714,rhombohedral
AcMnO3,Ac,Mn,FALSE,0,0,1.12,1.12,0.62,1.1,1.55,0,2.16999357,-2.035857143,0.882133212,-,0.442857143,orthorhombic
AcMoO3,Ac,Mo,FALSE,0,0,1.12,1.12,0.62,1.1,2.16,0,1.7893,-1.791857143,0.882133212,-,0.442857143,orthorhombic
AcNaO3,Ac,Na,FALSE,0,0,1.12,1.12,1.02,1.1,0.93,0,2.425828064,-3.109571429,0.73632607,-,0.728571429,cubic
AcNbO3,Ac,Nb,FALSE,0,0,1.12,1.12,0.68,1.1,1.6,0,1.955055241,-2.139714286,0.856687062,-,0.485714286,orthorhombic
AcNdO3,Ac,Nd,FALSE,0,0,1.12,1.12,0.98,1.1,1.14,0,2.320966993,-2.943,0.748701298,-,0.7,cubic
AcNiO3,Ac,Ni,FALSE,0,0,1.12,1.12,0.59,1.1,1.91,0,2.103725488,-1.829928571,0.895431703,-,0.421428571,orthorhombic
AcNpO3,Ac,Np,FALSE,0,0,1.12,1.12,0.86,1.1,1.36,0,0,-2.607285714,0.788455349,-,0.614285714,cubic
AcOsO3,Ac,Os,FALSE,0,0,1.12,1.12,0.57,1.1,2.2,0,1.954921624,-1.672642857,0.90452238,-,0.407142857,orthorhombic
AcPaO3,Ac,Pa,FALSE,0,0,1.12,1.12,0.91,1.1,1.5,0,0,-2.6545,0.771389216,-,0.65,cubic
AcPbO3,Ac,Pb,FALSE,0,0,1.12,1.12,0.99,1.1,2.33,0,2.362863567,-2.487642857,0.745568656,-,0.707142857,orthorhombic
AcPdO3,Ac,Pd,FALSE,0,0,1.12,1.12,0.75,1.1,2.2,0,2.04250519,-2.044214286,0.828794925,-,0.535714286,orthorhombic
AcPmO3,Ac,Pm,FALSE,0,0,1.12,1.12,0.97,1.1,1.13,0,0,-2.926357143,0.751860375,-,0.692857143,cubic
AcPrO3,Ac,Pr,FALSE,0,0,1.12,1.12,0.92,1.1,1.13,0,2.340791612,-2.823142857,0.768064262,-,0.657142857,cubic
AcPtO3,Ac,Pt,FALSE,0,0,1.12,1.12,0.67,1.1,2.28,0,2.64390067,-1.847071429,0.860825647,-,0.478571429,orthorhombic
AcPuO3,Ac,Pu,FALSE,0,0,1.12,1.12,0.83,1.1,1.28,0,2.226583834,-2.577357143,0.799062372,-,0.592857143,cubic
AcRbO3,Ac,Rb,FALSE,0,0,1.12,1.12,1.52,1.1,0.82,0,2.825996661,-4.185714286,0.610242839,-,1.085714286,orthorhombic
AcReO3,Ac,Re,FALSE,0,0,1.12,1.12,0.57,1.1,1.9,0,1.98797081,-1.792642857,0.90452238,-,0.407142857,orthorhombic
AcRhO3,Ac,Rh,FALSE,0,0,1.12,1.12,0.61,1.1,2.28,0,2.001424352,-1.723214286,0.886521935,-,0.435714286,orthorhombic
AcRuO3,Ac,Ru,FALSE,0,0,1.12,1.12,0.62,1.1,2.2,0,2.018753288,-1.775857143,0.882133212,-,0.442857143,orthorhombic
AcSbO3,Ac,Sb,FALSE,0,0,1.12,1.12,0.68,1.1,2.05,0,2.075848892,-1.959714286,0.856687062,-,0.485714286,orthorhombic
AcScO3,Ac,Sc,FALSE,0,0,1.12,1.12,0.75,1.1,1.36,0,2.074614707,-2.380214286,0.828794925,-,0.535714286,orthorhombic
AcSiO3,Ac,Si,FALSE,0,0,1.12,1.12,0.4,1.1,1.9,0,1.783360927,-1.441714286,0.989949494,-,0.285714286,tetragonal
AcSmO3,Ac,Sm,FALSE,0,0,1.12,1.12,0.96,1.1,1.17,0,2.311832729,-2.889714286,0.755046224,-,0.685714286,orthorhombic
AcSnO3,Ac,Sn,FALSE,0,0,1.12,1.12,0.69,1.1,1.96,0,2.052287148,-2.016357143,0.852588081,-,0.492857143,orthorhombic
AcSrO3,Ac,Sr,FALSE,0,0,1.12,1.12,1.18,1.1,0.95,0,2.452968591,-3.431857143,0.690662437,-,0.842857143,cubic
AcTaO3,Ac,Ta,FALSE,0,0,1.12,1.12,0.68,1.1,1.5,0,1.956808277,-2.179714286,0.856687062,-,0.485714286,orthorhombic
AcTbO3,Ac,Tb,FALSE,0,0,1.12,1.12,0.84,1.1,1.2,0,2.256932729,-2.63,0.795495129,-,0.6,orthorhombic
AcTcO3,Ac,Tc,FALSE,0,0,1.12,1.12,0.6,1.1,1.9,0,0,-1.854571429,0.890954544,-,0.428571429,orthorhombic
AcTeO3,Ac,Te,FALSE,0,0,1.12,1.12,0.77,1.1,2.1,0,2.115491508,-2.1255,0.821156262,-,0.55,cubic
AcThO3,Ac,Th,FALSE,0,0,1.12,1.12,0.94,1.1,1.3,0,2.246056043,-2.796428571,0.761499611,-,0.671428571,cubic
AcTiO3,Ac,Ti,FALSE,0,0,1.12,1.12,0.71,1.1,1.54,0,1.927848949,-2.225642857,0.844506677,-,0.507142857,orthorhombic
AcTlO3,Ac,Tl,FALSE,0,0,1.12,1.12,1.2,1.1,1.62,0,2.297683747,-3.205142857,0.685349649,-,0.857142857,orthorhombic
AcTmO3,Ac,Tm,FALSE,0,0,1.12,1.12,0.96,1.1,1.25,0,2.119700811,-2.857714286,0.755046224,-,0.685714286,orthorhombic
AcUO3,Ac,U,FALSE,0,0,1.12,1.12,0.85,1.1,1.38,0,2.0478,-2.578642857,0.791959595,-,0.607142857,cubic
AcVO3,Ac,V,FALSE,0,0,1.12,1.12,0.64,1.1,1.63,0,1.758039163,-2.045142857,0.873484847,-,0.457142857,orthorhombic
AcWO3,Ac,W,FALSE,0,0,1.12,1.12,0.63,1.1,2.36,0,1.7456,-1.7325,0.877787728,-,0.45,orthorhombic
AcYO3,Ac,Y,FALSE,0,0,1.12,1.12,0.9,1.1,1.22,0,2.235124352,-2.745857143,0.774743082,-,0.642857143,orthorhombic
AcYbO3,Ac,Yb,FALSE,0,0,1.12,1.12,0.95,1.1,1.1,0,2.223980699,-2.897071429,0.758259187,-,0.678571429,orthorhombic
AcZnO3,Ac,Zn,FALSE,0,0,1.12,1.12,0.74,1.1,1.65,0,2.096140752,-2.243571429,0.832667798,-,0.528571429,orthorhombic
AcZrO3,Ac,Zr,FALSE,0,0,1.12,1.12,0.72,1.1,1.33,0,2.043777903,-2.330285714,0.840523155,-,0.514285714,orthorhombic
AgAcO3,Ag,Ac,FALSE,0,0,1.28,0.95,1.12,1.93,1.1,2.76145322,0,-3.049714286,0.75200245,-,0.8,orthorhombic
Ag2O3,Ag,Ag,FALSE,-,-,1.28,0.95,0.95,1.93,1.93,2.76145322,2.488353231,-2.36975,0.806402627,-,0.678571429,cubic
AgAlO3,Ag,Al,FALSE,-,-,1.28,0.95,0.54,1.93,1.61,2.76145322,1.892894405,-1.791214286,0.976827925,-,0.385714286,orthorhombic
AgAsO3,Ag,As,FALSE,1,5,1.28,0.95,0.46,1.93,2.18,2.76145322,1.932227032,-1.389214286,1.018842029,4.762492298,0.328571429,tetragonal
AgAuO3,Ag,Au,FALSE,0,0,1.28,0.95,0.93,1.93,2.54,2.76145322,2.31369847,-2.055535714,0.813324538,-,0.664285714,cubic
AgBO3,Ag,B,FALSE,3,3,0.75,0.95,0.27,1.93,2.04,2.76145322,1.624661665,-0.852321429,0.910347054,4.341915139,0.192857143,cubic
AgBaO3,Ag,Ba,FALSE,-,-,1.28,0.95,1.35,1.93,0.89,2.76145322,2.64009357,-3.552321429,0.689107699,-,0.964285714,orthorhombic
AgBeO3,Ag,Be,FALSE,-,-,1.28,0.95,0.45,1.93,1.57,2.76145322,1.803349248,-1.650392857,1.024349283,-,0.321428571,cubic
AgBiO3,Ag,Bi,FALSE,1,5,1.28,0.95,0.76,1.93,2.02,2.76145322,2.215655462,-1.992714286,0.877336191,4.072913752,0.542857143,rhombohedral
AgCaO3,Ag,Ca,FALSE,-,-,1.28,0.95,1,1.93,1,2.76145322,2.318139449,-2.883285714,0.789602572,-,0.714285714,rhombohedral
AgCdO3,Ag,Cd,FALSE,-,-,1.28,0.95,0.95,1.93,1.69,2.76145322,2.286435201,-2.479464286,0.806402627,-,0.678571429,cubic
AgCeO3,Ag,Ce,FALSE,-,-,1.28,0.95,0.94,1.93,1.12,2.76145322,2.268642439,-2.722357143,0.809848792,-,0.671428571,orthorhombic
AgCoO3,Ag,Co,FALSE,-,-,1.28,0.95,0.63,1.93,1.88,2.76145322,1.930310969,-1.826892857,0.933520283,-,0.45,orthorhombic
AgCrO3,Ag,Cr,FALSE,1,5,1.28,0.95,0.49,1.93,1.66,2.76145322,1.960053288,-1.679964286,1.002669933,4.577636281,0.35,orthorhombic
AgCsO3,Ag,Cs,FALSE,-,-,1.28,0.95,1.67,1.93,0.79,2.76145322,3.009747218,-4.16375,0.617278884,-,1.192857143,cubic
AgCuO3,Ag,Cu,FALSE,-,-,1.28,0.95,0.68,1.93,1.9,2.76145322,2.005573846,-1.906142857,0.911079891,-,0.485714286,orthorhombic
AgDyO3,Ag,Dy,FALSE,-,-,1.28,0.95,0.99,1.93,1.22,2.76145322,2.255580699,-2.765035714,0.792906349,-,0.707142857,cubic
AgErO3,Ag,Er,FALSE,-,-,1.28,0.95,0.89,1.93,1.24,2.76145322,2.250676638,-2.579107143,0.82753108,-,0.635714286,cubic
AgEuO3,Ag,Eu,FALSE,-,-,1.28,0.95,1.06,1.93,1.2,2.76145322,2.354367494,-2.897928571,0.770343973,-,0.757142857,orthorhombic
AgFeO3,Ag,Fe,FALSE,-,-,1.28,0.95,0.67,1.93,1.83,2.76145322,1.999521816,-1.920464286,0.915481243,-,0.478571429,orthorhombic
AgGaO3,Ag,Ga,FALSE,-,-,1.28,0.95,0.62,1.93,1.81,2.76145322,1.974643898,-1.841214286,0.93814167,-,0.442857143,orthorhombic
AgGdO3,Ag,Gd,FALSE,-,-,1.28,0.95,0.94,1.93,1.2,2.76145322,2.28415608,-2.685785714,0.809848792,-,0.671428571,cubic
AgGeO3,Ag,Ge,FALSE,-,-,1.28,0.95,0.63,1.93,2.01,2.76145322,1.899964183,-1.767464286,0.933520283,-,0.45,orthorhombic
AgHfO3,Ag,Hf,FALSE,-,-,1.28,0.95,0.71,1.93,1.3,2.76145322,2.027412322,-2.233464286,0.898126149,-,0.507142857,orthorhombic
AgHgO3,Ag,Hg,FALSE,-,-,1.28,0.95,1.11,1.93,2,2.76145322,2.323654714,-2.620607143,0.754998476,-,0.792857143,cubic
AgHoO3,Ag,Ho,FALSE,-,-,1.28,0.95,0.9,1.93,1.23,2.76145322,2.25865608,-2.601357143,0.823933119,-,0.642857143,cubic
AgInO3,Ag,In,FALSE,-,-,1.28,0.95,0.8,1.93,1.78,2.76145322,2.147680955,-2.173142857,0.861384624,-,0.571428571,cubic
AgIrO3,Ag,Ir,FALSE,1,5,1.28,0.95,0.57,1.93,2.2,2.76145322,2.009082787,-1.574535714,0.961952372,4.232002327,0.407142857,rhombohedral
AgKO3,Ag,K,FALSE,-,-,1.28,0.95,1.38,1.93,0.82,2.76145322,2.723507129,-3.637357143,0.681671285,-,0.985714286,cubic
AgLaO3,Ag,La,FALSE,-,-,1.28,0.95,1.03,1.93,1.1,2.76145322,2.376509378,-2.890607143,0.779854392,-,0.735714286,orthorhombic
AgLiO3,Ag,Li,FALSE,-,-,1.28,0.95,0.76,1.93,0.98,2.76145322,2.095547886,-2.468142857,0.877336191,-,0.542857143,cubic
AgLuO3,Ag,Lu,FALSE,-,-,1.28,0.95,0.86,1.93,1.27,2.76145322,2.209114963,-2.512357143,0.838516006,-,0.614285714,cubic
AgMgO3,Ag,Mg,FALSE,-,-,1.28,0.95,0.72,1.93,1.31,2.76145322,2.046489492,-2.246571429,0.893889705,-,0.514285714,cubic
AgMnO3,Ag,Mn,FALSE,-,-,1.28,0.95,0.62,1.93,1.55,2.76145322,2.16999357,-1.960071429,0.93814167,-,0.442857143,orthorhombic
AgMoO3,Ag,Mo,FALSE,1,5,1.28,0.95,0.61,1.93,2.16,2.76145322,1.7893,-1.663535714,0.942809042,4.126280155,0.435714286,cubic
AgNaO3,Ag,Na,FALSE,-,-,1.28,0.95,1.02,1.93,0.93,2.76145322,2.425828064,-2.950642857,0.783076931,-,0.728571429,cubic
AgNbO3,Ag,Nb,TRUE,1,5,1.28,0.95,0.64,1.93,1.6,2.76145322,1.955055241,-1.972571429,0.928944203,4.072890082,0.457142857,rhombohedral
AgNdO3,Ag,Nd,FALSE,-,-,1.28,0.95,0.98,1.93,1.14,2.76145322,2.320966993,-2.783928571,0.796237888,-,0.7,cubic
AgNiO3,Ag,Ni,FALSE,-,-,1.28,0.95,0.59,1.93,1.91,2.76145322,2.103725488,-1.742464286,0.952284509,-,0.421428571,orthorhombic
AgNpO3,Ag,Np,FALSE,0,0,1.28,0.95,0.86,1.93,1.36,2.76145322,0,-2.471214286,0.838516006,-,0.614285714,orthorhombic
AgOsO3,Ag,Os,FALSE,0,0,1.28,0.95,0.57,1.93,2.2,2.76145322,1.954921624,-1.574535714,0.961952372,-,0.407142857,rhombohedral
AgPaO3,Ag,Pa,FALSE,0,0,1.28,0.95,0.91,1.93,1.5,2.76145322,0,-2.495607143,0.820366309,-,0.65,rhombohedral
AgPbO3,Ag,Pb,FALSE,-,-,1.28,0.95,0.99,1.93,2.33,2.76145322,2.362863567,-2.257607143,0.792906349,-,0.707142857,orthorhombic
AgPdO3,Ag,Pd,FALSE,-,-,1.28,0.95,0.75,1.93,2.2,2.76145322,2.04250519,-1.89275,0.881416825,-,0.535714286,orthorhombic
AgPmO3,Ag,Pm,FALSE,0,0,1.28,0.95,0.97,1.93,1.13,2.76145322,0,-2.770821429,0.799597542,-,0.692857143,cubic
AgPrO3,Ag,Pr,FALSE,-,-,1.28,0.95,0.92,1.93,1.13,2.76145322,2.340791612,-2.682428571,0.816830247,-,0.657142857,orthorhombic
AgPtO3,Ag,Pt,FALSE,0,0,1.28,0.95,0.67,1.93,2.28,2.76145322,2.64390067,-1.71475,0.915481243,-,0.478571429,orthorhombic
AgPuO3,Ag,Pu,FALSE,0,0,1.28,0.95,0.83,1.93,1.28,2.76145322,2.226583834,-2.45475,0.84979649,-,0.592857143,orthorhombic
AgRbO3,Ag,Rb,FALSE,-,-,1.28,0.95,1.52,1.93,0.82,2.76145322,2.825996661,-3.884857143,0.648988416,-,1.085714286,cubic
AgReO3,Ag,Re,FALSE,1,5,1.28,0.95,0.58,1.93,1.9,2.76145322,1.98797081,-1.729357143,0.957094027,4.201731568,0.414285714,cubic
AgRhO3,Ag,Rh,FALSE,-,-,1.28,0.95,0.61,1.93,2.28,2.76145322,2.001424352,-1.608678571,0.942809042,-,0.435714286,orthorhombic
AgRuO3,Ag,Ru,FALSE,1,5,1.28,0.95,0.57,1.93,2.2,2.76145322,2.018753288,-1.574535714,0.961952372,4.232002327,0.407142857,rhombohedral
AgSbO3,Ag,Sb,TRUE,1,5,1.28,0.95,0.6,1.93,2.05,2.76145322,2.075848892,-1.696142857,0.947523087,4.148924717,0.428571429,orthorhombic
AgScO3,Ag,Sc,FALSE,-,-,1.28,0.95,0.75,1.93,1.36,2.76145322,2.074614707,-2.27675,0.881416825,-,0.535714286,orthorhombic
AgSiO3,Ag,Si,FALSE,-,-,1.28,0.95,0.4,1.93,1.9,2.76145322,1.783360927,-1.411142857,1.05280343,-,0.285714286,tetragonal
AgSmO3,Ag,Sm,FALSE,-,-,1.28,0.95,0.96,1.93,1.17,2.76145322,2.311832729,-2.734857143,0.802985667,-,0.685714286,cubic
AgSnO3,Ag,Sn,FALSE,-,-,1.28,0.95,0.69,1.93,1.96,2.76145322,2.052287148,-1.896392857,0.906720657,-,0.492857143,orthorhombic
AgSrO3,Ag,Sr,FALSE,-,-,1.28,0.95,1.18,1.93,0.95,2.76145322,2.452968591,-3.224357143,0.734514021,-,0.842857143,orthorhombic
AgTaO3,Ag,Ta,TRUE,1,5,1.28,0.95,0.64,1.93,1.5,2.76145322,1.956808277,-2.018285714,0.928944203,4.072890082,0.457142857,rhombohedral
AgTbO3,Ag,Tb,FALSE,-,-,1.28,0.95,0.84,1.93,1.2,2.76145322,2.256932729,-2.509,0.846002756,-,0.6,cubic
AgTcO3,Ag,Tc,FALSE,0,0,1.28,0.95,0.6,1.93,1.9,2.76145322,0,-1.764714286,0.947523087,-,0.428571429,rhombohedral
AgTeO3,Ag,Te,FALSE,-,-,1.28,0.95,0.77,1.93,2.1,2.76145322,2.115491508,-1.973821429,0.873293168,-,0.55,orthorhombic
AgThO3,Ag,Th,FALSE,-,-,1.28,0.95,0.94,1.93,1.3,2.76145322,2.246056043,-2.640071429,0.809848792,-,0.671428571,cubic
AgTiO3,Ag,Ti,FALSE,-,-,1.28,0.95,0.71,1.93,1.54,2.76145322,1.927848949,-2.12375,0.898126149,-,0.507142857,orthorhombic
AgTlO3,Ag,Tl,FALSE,-,-,1.28,0.95,1.2,1.93,1.62,2.76145322,2.297683747,-2.953428571,0.728863913,-,0.857142857,cubic
AgTmO3,Ag,Tm,FALSE,-,-,1.28,0.95,0.96,1.93,1.25,2.76145322,2.119700811,-2.698285714,0.802985667,-,0.685714286,cubic
AgUO3,Ag,U,FALSE,1,5,1.28,0.95,0.76,1.93,1.38,2.76145322,2.0478,-2.285285714,0.877336191,4.072913752,0.542857143,rhombohedral
AgVO3,Ag,V,TRUE,1,5,1.28,0.95,0.54,1.93,1.63,2.76145322,1.758039163,-1.782071429,0.976827925,4.339108738,0.385714286,tetragonal
AgWO3,Ag,W,FALSE,1,5,1.28,0.95,0.62,1.93,2.36,2.76145322,1.7456,-1.589785714,0.93814167,4.106081989,0.442857143,cubic
AgYO3,Ag,Y,FALSE,-,-,1.28,0.95,0.9,1.93,1.22,2.76145322,2.235124352,-2.605928571,0.823933119,-,0.642857143,cubic
AgYbO3,Ag,Yb,FALSE,-,-,1.28,0.95,0.95,1.93,1.1,2.76145322,2.223980699,-2.749178571,0.806402627,-,0.678571429,orthorhombic
AgZnO3,Ag,Zn,FALSE,-,-,1.28,0.95,0.74,1.93,1.65,2.76145322,2.096140752,-2.1265,0.885535595,-,0.528571429,cubic
AgZrO3,Ag,Zr,FALSE,-,-,1.28,0.95,0.72,1.93,1.33,2.76145322,2.043777903,-2.237428571,0.893889705,-,0.514285714,orthorhombic
AlAcO3,Al,Ac,FALSE,0,0,0.54,0.54,1.12,1.61,1.1,2.186788809,0,-2.559285714,0.544359982,-,0.8,orthorhombic
AlAgO3,Al,Ag,FALSE,3,3,0.54,0.54,0.75,1.61,1.93,2.186788809,2.488353231,-1.702821429,0.638040537,-13.70859439,0.535714286,orthorhombic
Al2O3,Al,Al,FALSE,3,3,0.54,0.54,0.54,1.61,1.61,2.186788809,1.892894405,-1.369285714,0.707106781,-,0.385714286,cubic
AlAsO3,Al,As,FALSE,3,3,0.54,0.54,0.58,1.61,2.18,2.186788809,1.932227032,-1.334642857,0.692821796,-45.6730239,0.414285714,cubic
AlAuO3,Al,Au,FALSE,0,0,0.54,0.54,0.93,1.61,2.54,2.186788809,2.31369847,-1.923964286,0.588749852,-,0.664285714,cubic
AlBO3,Al,B,FALSE,3,3,0.54,0.54,0.27,1.61,2.04,2.186788809,1.624661665,-0.778178571,0.821429434,4.841355431,0.192857143,cubic
AlBaO3,Al,Ba,FALSE,-,-,0.54,0.54,1.35,1.61,0.89,2.186788809,2.64009357,-3.032678571,0.498831693,-,0.964285714,orthorhombic
AlBeO3,Al,Be,FALSE,-,-,0.54,0.54,0.45,1.61,1.57,2.186788809,1.803349248,-1.207607143,0.741506571,-,0.321428571,cubic
AlBiO3,Al,Bi,FALSE,-,-,0.54,0.54,0.9,1.61,2.02,2.186788809,2.215655462,-1.967785714,0.596429198,-,0.642857143,orthorhombic
AlCaO3,Al,Ca,FALSE,-,-,0.54,0.54,1,1.61,1,2.186788809,2.318139449,-2.352714286,0.571577981,-,0.714285714,orthorhombic
AlCdO3,Al,Cd,FALSE,-,-,0.54,0.54,0.95,1.61,1.69,2.186788809,2.286435201,-2.125535714,0.583739215,-,0.678571429,orthorhombic
AlCeO3,Al,Ce,FALSE,3,3,0.54,0.54,1.01,1.61,1.12,2.186788809,2.268642439,-2.348392857,0.569206289,-10.17553999,0.721428571,orthorhombic
AlCoO3,Al,Co,FALSE,3,3,0.54,0.54,0.61,1.61,1.88,2.186788809,1.930310969,-1.448964286,0.682481172,-28.49293739,0.435714286,cubic
AlCrO3,Al,Cr,FALSE,3,3,0.54,0.54,0.62,1.61,1.66,2.186788809,1.960053288,-1.510214286,0.679102552,-25.65541231,0.442857143,cubic
AlCsO3,Al,Cs,FALSE,-,-,0.54,0.54,1.67,1.61,0.79,2.186788809,3.009747218,-3.65425,0.446836207,-,1.192857143,cubic
AlCuO3,Al,Cu,FALSE,3,3,0.54,0.54,0.54,1.61,1.9,2.186788809,2.005573846,-1.313357143,0.707106781,-,0.385714286,cubic
AlDyO3,Al,Dy,FALSE,3,3,0.54,0.54,0.91,1.61,1.22,2.186788809,2.255580699,-2.140892857,0.593847253,-10.87273503,0.65,rhombohedral
AlErO3,Al,Er,FALSE,3,3,0.54,0.54,0.89,1.61,1.24,2.186788809,2.250676638,-2.099392857,0.599033692,-11.06994889,0.635714286,orthorhombic
AlEuO3,Al,Eu,FALSE,3,3,0.54,0.54,0.95,1.61,1.2,2.186788809,2.354367494,-2.220035714,0.583739215,-10.54505319,0.678571429,orthorhombic
AlFeO3,Al,Fe,FALSE,3,3,0.54,0.54,0.65,1.61,1.83,2.186788809,1.999521816,-1.533892857,0.669164466,-20.28878795,0.464285714,cubic
AlGaO3,Al,Ga,FALSE,3,3,0.54,0.54,0.62,1.61,1.81,2.186788809,1.974643898,-1.481285714,0.679102552,-25.65541231,0.442857143,cubic
AlGdO3,Al,Gd,FALSE,3,3,0.54,0.54,0.94,1.61,1.2,2.186788809,2.28415608,-2.201214286,0.586233827,-10.61973243,0.671428571,rhombohedral
AlGeO3,Al,Ge,FALSE,-,-,0.54,0.54,0.63,1.61,2.01,2.186788809,1.899964183,-1.461535714,0.675757219,-,0.45,cubic
AlHfO3,Al,Hf,FALSE,3,3,0.54,0.54,0.71,1.61,1.3,2.186788809,2.027412322,-1.749035714,0.650136093,-15.36475981,0.507142857,cubic
AlHgO3,Al,Hg,FALSE,-,-,0.54,0.54,1.11,1.61,2,2.186788809,2.323654714,-2.366892857,0.546528747,-,0.792857143,orthorhombic
