id,carat,cut,color,clarity,depth,table,x,y,z,price
61,0.54,Ideal,H,VVS1,61.1,57.0,5.22,5.26,3.2,1846
62,0.7,Good,I,SI1,58.5,61.0,5.76,5.82,3.39,2276
63,2.22,Very Good,J,SI2,61.2,63.0,8.33,8.23,5.07,10662
64,1.11,Ideal,G,VVS2,61.8,57.0,6.67,6.64,4.11,8858
65,0.32,Ideal,H,VS2,62.0,54.0,4.41,4.43,2.74,523
66,1.01,Premium,G,VS1,62.7,58.0,6.31,6.36,3.97,6221
67,1.2,Good,G,SI1,63.5,60.0,6.68,6.74,4.26,4828
68,1.05,Very Good,E,SI1,59.7,57.0,6.63,6.71,3.98,6224
69,0.55,Premium,E,VS2,61.1,58.0,5.28,5.3,3.23,1928
70,0.23,Very Good,E,VVS2,63.0,58.0,3.95,3.99,2.5,505
71,0.7,Ideal,H,VS2,62.8,55.0,5.67,5.63,3.55,2607
72,1.2,Very Good,E,SI1,62.6,58.0,6.73,6.78,4.23,6098
73,0.41,Premium,F,VS1,61.1,58.0,4.78,4.74,2.91,1076
74,1.04,Ideal,I,VS2,61.5,57.0,6.49,6.52,4.0,5105
75,0.71,Very Good,F,VS2,61.3,56.0,5.7,5.76,3.51,2709
76,1.56,Premium,J,VS1,61.1,59.0,7.52,7.49,4.58,8476
77,1.27,Very Good,I,SI1,63.0,60.0,6.86,6.8,4.3,6654
78,0.36,Ideal,E,VS2,62.1,55.0,4.58,4.54,2.83,1013
79,2.1,Premium,J,SI1,62.9,58.0,8.15,8.09,5.11,13930
80,0.25,Very Good,E,VVS2,62.0,56.0,4.05,4.08,2.52,560
81,1.53,Premium,G,VS1,60.2,59.0,7.5,7.45,4.5,13119
82,0.75,Premium,I,SI1,62.7,61.0,5.75,5.71,3.59,2142
83,0.7,Fair,F,SI2,58.2,66.0,5.77,5.74,3.35,1920
84,0.93,Very Good,F,SI1,59.8,58.0,6.32,6.39,3.8,4256
85,1.01,Premium,E,SI2,60.6,58.0,6.53,6.47,3.94,4118
86,1.0,Fair,H,SI1,56.3,63.0,6.63,6.61,3.73,4150
87,1.02,Ideal,G,VS2,62.6,57.0,6.43,6.41,4.02,5922
88,0.31,Premium,I,VS1,59.2,60.0,4.45,4.4,2.62,628
89,0.4,Premium,D,SI1,62.5,61.0,4.69,4.66,2.92,924
90,0.31,Ideal,G,IF,62.1,56.0,4.31,4.34,2.69,871
91,0.28,Premium,E,VVS1,61.1,60.0,4.21,4.17,2.56,828
92,0.7,Ideal,F,VVS2,61.0,57.0,5.73,5.75,3.5,3478
93,0.33,Premium,H,VS1,62.9,59.0,4.4,4.35,2.75,743
94,0.31,Premium,G,VS2,60.9,58.0,4.35,4.38,2.66,544
95,0.51,Very Good,H,VS1,60.7,56.0,5.16,5.2,3.15,1628
96,0.41,Very Good,G,VVS2,61.6,56.0,4.76,4.78,2.94,1007
97,1.08,Ideal,D,SI2,61.6,57.0,6.62,6.58,4.07,5352
98,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,438
99,0.9,Good,E,VVS1,63.4,60.0,6.06,6.11,3.86,7214
100,0.41,Ideal,J,VS1,62.7,54.0,4.75,4.79,2.99,648
101,0.52,Premium,D,VS2,60.9,58.0,5.22,5.16,3.16,1619
102,0.36,Very Good,E,SI1,63.5,58.0,4.46,4.49,2.84,593
103,0.42,Premium,F,VS2,61.9,58.0,4.8,4.76,2.96,945
104,0.78,Very Good,I,SI2,62.5,58.0,5.82,5.89,3.66,2132
105,1.88,Very Good,D,SI2,63.2,60.0,7.84,7.79,4.94,9791
106,0.5,Good,E,VS2,59.8,57.0,5.12,5.18,3.08,1395
107,1.09,Very Good,F,VS1,62.9,58.0,6.51,6.55,4.11,7598
108,0.3,Very Good,G,SI1,58.8,60.0,4.35,4.39,2.57,447
109,1.05,Premium,G,VS2,62.8,58.0,6.48,6.44,4.06,6181
110,0.33,Ideal,D,VS1,61.0,56.0,4.47,4.45,2.72,1077
111,0.33,Very Good,G,VVS2,62.8,57.0,4.39,4.47,2.78,752
112,1.53,Premium,I,VS2,62.0,58.0,7.41,7.36,4.58,10196
113,1.5,Ideal,G,SI1,61.0,57.0,7.38,7.41,4.51,12009
114,0.31,Very Good,G,VS2,63.0,54.0,4.33,4.37,2.74,544
115,1.02,Good,F,VS2,63.3,59.0,6.37,6.4,4.04,6479
116,1.01,Premium,G,SI1,62.7,59.0,6.41,6.35,4.0,4808
117,0.32,Ideal,G,VVS2,62.1,57.0,4.42,4.4,2.74,936
118,1.8,Ideal,F,SI1,61.8,57.0,7.83,7.79,4.83,16513
119,2.01,Fair,G,SI1,70.6,64.0,7.43,6.64,4.69,18574
120,1.12,Premium,G,SI2,61.0,60.0,6.7,6.64,4.07,3838
121,1.01,Very Good,G,VS1,63.2,58.0,6.38,6.34,4.02,6618
122,0.7,Very Good,I,VVS1,61.2,58.0,5.65,5.72,3.48,2513
123,1.2,Ideal,E,VVS2,61.5,57.0,6.79,6.89,4.21,11883
124,2.17,Premium,F,SI2,59.3,61.0,8.6,8.53,5.08,13084
125,0.42,Ideal,F,VS2,62.0,55.0,4.79,4.82,2.98,872
126,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,791
127,2.4,Premium,J,SI1,59.7,58.0,8.75,8.71,5.21,15920
128,0.32,Very Good,E,SI1,63.3,55.0,4.36,4.33,2.75,672
129,1.01,Ideal,G,SI2,62.4,56.0,6.42,6.37,3.99,4242
130,0.61,Ideal,G,VS1,61.8,56.0,5.43,5.48,3.37,2041
131,1.37,Ideal,G,VVS1,62.6,55.0,7.07,7.12,4.44,12342
132,0.71,Premium,H,SI2,61.5,60.0,5.72,5.7,3.51,1826
133,0.41,Premium,G,VS2,61.8,58.0,4.77,4.75,2.94,1061
134,0.34,Very Good,G,VVS2,61.7,56.0,4.47,4.51,2.77,775
135,0.32,Premium,H,VS2,62.7,58.0,4.35,4.33,2.72,605
136,0.54,Ideal,H,VS2,61.5,55.0,5.25,5.28,3.24,1453
137,0.37,Premium,D,VS1,60.2,60.0,4.63,4.68,2.8,803
138,1.51,Premium,F,VS2,62.5,58.0,7.36,7.21,4.55,14294
139,1.05,Fair,D,SI2,65.4,59.0,6.3,6.24,4.1,3816
140,1.2,Very Good,G,VS2,63.1,57.0,6.69,6.74,4.24,7371
141,0.83,Ideal,F,SI1,62.2,55.0,6.01,6.03,3.74,3560
142,0.73,Premium,F,VS1,61.9,56.0,5.81,5.76,3.58,2961
143,1.03,Very Good,G,VS1,62.2,57.0,6.42,6.47,4.01,6539
144,0.41,Very Good,D,VVS2,61.2,55.0,4.79,4.82,2.95,1364
145,0.38,Ideal,E,VVS2,59.9,61.0,4.71,4.74,2.83,1008
146,0.55,Very Good,E,VVS2,60.6,56.0,5.33,5.36,3.24,2499
147,1.25,Ideal,H,VVS2,60.8,57.0,6.95,6.99,4.24,8789
148,0.9,Ideal,I,VS1,61.8,56.0,6.2,6.23,3.84,3724
149,0.3,Ideal,G,VS1,62.2,55.0,4.31,4.28,2.67,776
150,0.92,Ideal,J,VS2,61.1,57.0,6.31,6.22,3.83,3215
151,0.3,Premium,E,VS2,61.8,58.0,4.28,4.26,2.64,844
152,1.02,Ideal,G,VS2,62.5,57.0,6.41,6.45,4.02,6352
153,0.35,Ideal,I,VS2,61.7,57.0,4.56,4.52,2.8,630
154,1.53,Premium,I,SI2,62.1,59.0,7.35,7.37,4.57,7539
155,2.01,Premium,J,SI2,61.4,60.0,8.14,8.07,4.98,12407
156,0.9,Good,F,VS2,59.8,61.0,6.18,6.22,3.71,4253
157,1.06,Very Good,E,VVS2,61.8,58.0,6.52,6.56,4.04,9997
158,0.33,Ideal,G,VVS1,61.7,56.0,4.47,4.45,2.75,1114
159,1.67,Very Good,H,SI1,59.4,61.0,7.73,7.78,4.61,11146
160,0.56,Very Good,E,VS2,61.0,58.0,5.29,5.34,3.24,1755
161,0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,2792
162,0.27,Premium,F,IF,61.7,57.0,4.21,4.12,2.57,820
163,2.01,Premium,H,SI1,61.2,62.0,8.18,8.12,4.99,12829
164,1.32,Premium,H,SI2,62.7,58.0,7.05,6.99,4.4,6431
165,0.38,Premium,F,VVS1,61.6,58.0,4.65,4.61,2.85,1257
166,1.53,Ideal,G,SI1,61.3,57.0,7.42,7.32,4.52,8529
167,1.0,Premium,F,SI1,62.6,60.0,6.3,6.32,3.95,5197
168,0.52,Ideal,D,VS2,61.8,56.0,5.15,5.17,3.19,1822
169,0.72,Very Good,E,SI1,61.6,58.0,5.74,5.78,3.55,2688
170,0.63,Ideal,F,VS2,61.2,56.0,5.56,5.51,3.39,2182
171,2.51,Good,G,SI2,59.5,65.0,8.87,8.74,5.24,14251
172,0.5,Ideal,I,VVS2,60.5,57.0,5.14,5.17,3.12,1640
173,2.14,Premium,I,SI1,59.5,59.0,8.42,8.36,4.99,15499
174,0.54,Ideal,G,VS1,61.9,54.0,5.25,5.28,3.26,1847
175,0.33,Ideal,D,VS2,62.3,54.0,4.46,4.43,2.77,855
176,0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,4024
177,0.42,Ideal,F,VVS2,61.6,56.0,4.85,4.83,2.98,1221
178,0.38,Ideal,H,VS1,62.1,55.4,4.63,4.68,2.89,714
179,0.52,Ideal,E,VS2,61.9,56.0,5.16,5.12,3.18,1815
180,1.51,Very Good,H,VS2,61.9,57.0,7.32,7.36,4.54,10090
181,0.36,Ideal,F,IF,62.2,55.0,4.62,4.57,2.86,1215
182,0.4,Premium,H,SI1,62.7,58.0,4.65,4.69,2.93,666
183,1.02,Premium,G,VS1,62.0,56.0,6.5,6.43,4.01,6683
184,1.51,Premium,G,VS2,62.7,58.0,7.31,7.2,4.55,12872
185,0.91,Ideal,E,SI1,60.7,56.0,6.26,6.22,3.79,3665
186,0.44,Premium,G,SI1,60.1,60.0,4.95,4.86,2.95,990
187,0.37,Ideal,E,SI1,61.4,56.0,4.6,4.65,2.84,606
188,0.91,Premium,G,SI1,62.6,58.0,6.17,6.14,3.85,3975
189,1.02,Very Good,E,SI2,63.3,58.0,6.31,6.4,4.02,4540
190,0.5,Ideal,D,VS2,61.1,57.0,5.11,5.13,3.13,2243
191,0.4,Ideal,I,VVS2,61.9,56.4,4.72,4.74,2.93,728
192,1.59,Good,F,SI1,63.6,57.0,7.39,7.43,4.71,11716
193,0.39,Ideal,H,SI1,61.9,55.7,4.66,4.71,2.9,654
194,1.02,Ideal,G,SI1,62.2,56.0,6.44,6.46,4.01,5082
195,0.7,Ideal,F,VS1,62.0,55.0,5.71,5.74,3.55,2726
196,0.51,Very Good,F,VS2,63.1,58.0,5.11,5.09,3.22,1574
197,0.4,Ideal,D,VS2,61.7,56.0,4.72,4.74,2.92,1172
198,1.5,Very Good,I,VS2,63.0,57.0,7.2,7.25,4.55,8662
199,1.07,Very Good,F,IF,59.4,59.0,6.64,6.7,3.96,11019
200,2.06,Ideal,H,SI2,62.0,57.0,8.1,8.06,5.01,11040
201,1.56,Good,J,VS2,57.6,65.0,7.6,7.62,4.38,6966
202,1.23,Ideal,F,VS1,61.3,57.0,6.93,6.86,4.23,8679
203,0.7,Premium,G,VS2,62.5,55.0,5.69,5.64,3.54,2479
204,0.25,Very Good,E,VS2,63.3,56.0,4.01,4.05,2.55,436
205,0.38,Ideal,G,SI1,62.0,55.0,4.67,4.64,2.89,969
206,0.34,Premium,G,VS2,60.2,58.0,4.52,4.55,2.73,596
207,0.31,Ideal,H,IF,62.0,56.0,4.36,4.39,2.71,772
208,0.76,Ideal,I,SI1,62.3,57.0,5.81,5.87,3.64,2474
209,1.51,Premium,J,VS2,60.7,60.0,7.43,7.36,4.49,7357
210,1.02,Premium,G,VS2,62.6,59.0,6.39,6.43,4.01,5978
211,0.31,Ideal,E,VS2,61.8,54.0,4.36,4.41,2.71,680
212,0.9,Very Good,I,VS2,62.4,58.0,6.12,6.16,3.83,3398
213,2.04,Very Good,J,VS2,62.4,57.0,8.04,8.19,5.06,13825
214,0.33,Ideal,F,VS2,62.3,56.0,4.45,4.41,2.76,854
215,0.7,Premium,F,SI2,61.2,59.0,5.75,5.72,3.51,1792
216,0.34,Ideal,G,IF,61.6,56.0,4.51,4.48,2.77,1084
217,0.54,Ideal,I,SI1,60.0,59.0,5.29,5.31,3.18,1170
218,0.4,Ideal,E,SI2,61.2,55.0,4.74,4.77,2.91,666
219,0.4,Premium,D,VS1,60.9,58.0,4.81,4.78,2.92,1200
220,0.42,Ideal,H,VVS2,62.0,57.0,4.79,4.82,2.98,823
221,2.13,Premium,H,SI2,62.4,56.0,8.26,8.19,5.13,12753
222,2.04,Premium,J,VS2,61.4,59.0,8.14,8.04,4.97,13600
223,1.01,Very Good,G,SI1,63.0,57.0,6.28,6.35,3.98,4890
224,0.71,Ideal,I,VS2,61.5,55.0,5.76,5.78,3.55,2878
225,0.7,Very Good,E,SI1,63.2,57.0,5.6,5.67,3.56,2617
226,1.0,Premium,H,IF,60.6,57.0,6.54,6.47,3.94,7235
227,0.4,Ideal,F,VVS2,62.4,57.0,4.69,4.73,2.94,1088
228,0.35,Ideal,F,VS2,62.4,55.0,4.51,4.53,2.82,706
229,0.33,Ideal,F,VVS1,61.8,55.0,4.44,4.46,2.75,1141
230,1.7,Premium,E,SI1,62.3,57.0,7.68,7.6,4.76,15662
231,0.42,Premium,G,VS2,59.8,58.0,4.86,4.9,2.92,847
232,0.55,Very Good,I,SI2,63.1,58.0,5.15,5.19,3.26,1041
233,0.6,Premium,F,SI2,58.9,59.0,5.55,5.52,3.26,1378
234,0.35,Ideal,F,VVS1,60.6,57.0,4.57,4.6,2.78,994
235,0.58,Good,E,VS1,58.6,64.0,5.4,5.46,3.18,2185
236,0.3,Ideal,E,VVS1,61.7,57.0,4.32,4.34,2.67,1071
237,0.56,Ideal,H,SI1,61.6,56.0,5.29,5.33,3.27,1612
238,1.52,Ideal,I,VS2,62.1,59.0,7.3,7.35,4.55,9465
239,0.7,Premium,E,SI1,58.6,60.0,5.78,5.75,3.38,2657
240,0.5,Premium,G,VS1,60.9,58.0,5.23,5.09,3.14,1746
241,0.4,Very Good,J,IF,62.2,61.0,4.68,4.71,2.92,828
242,1.0,Premium,F,VS2,59.9,59.0,6.46,6.42,3.86,5864
243,0.7,Premium,H,SI1,59.0,60.0,5.86,5.81,3.44,2331
244,0.59,Very Good,F,SI1,61.7,57.0,5.39,5.43,3.34,1412
245,0.38,Good,F,VS2,56.2,61.0,4.84,4.87,2.73,873
246,2.01,Good,D,SI2,59.9,65.0,8.0,8.07,4.81,16624
247,0.38,Ideal,E,VS1,60.7,56.0,4.7,4.72,2.86,933
248,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1103
249,0.43,Premium,D,VS2,59.7,59.0,4.89,4.93,2.93,901
250,1.16,Premium,H,SI1,60.2,59.0,6.84,6.77,4.1,5480
251,0.57,Premium,G,VS1,62.4,58.0,5.32,5.29,3.31,1949
252,0.54,Ideal,D,VS1,62.0,56.0,5.21,5.25,3.24,1941
253,0.61,Good,G,VS1,60.2,61.0,5.47,5.52,3.3,1785
254,0.7,Premium,J,VS1,60.9,58.0,5.73,5.66,3.47,2005
255,0.3,Very Good,G,VVS2,63.0,57.0,4.28,4.32,2.71,684
256,1.04,Very Good,H,SI1,58.9,63.0,6.59,6.55,3.87,4484
257,1.2,Premium,H,SI1,62.4,58.0,6.76,6.79,4.23,5718
258,0.53,Ideal,G,VS2,61.8,56.0,5.21,5.18,3.21,1607
259,1.53,Very Good,G,VS2,58.9,59.0,7.58,7.61,4.47,13225
260,0.7,Very Good,D,SI1,63.5,58.0,5.61,5.64,3.57,2686
261,1.0,Very Good,E,SI2,62.4,57.0,6.33,6.4,3.97,4620
262,0.31,Ideal,D,SI2,62.0,56.0,4.33,4.35,2.69,462
263,1.22,Ideal,J,SI1,60.6,56.0,6.96,6.95,4.22,5586
264,0.71,Premium,F,SI1,58.5,59.0,5.87,5.82,3.42,2345
265,0.51,Premium,G,SI1,61.4,58.0,5.17,5.14,3.16,1071
266,0.5,Ideal,F,VS2,62.5,57.0,5.07,5.11,3.18,1436
267,0.64,Very Good,D,SI1,62.3,58.0,5.49,5.53,3.43,1969
268,2.01,Ideal,H,SI2,61.9,57.0,8.09,8.06,5.0,14167
269,1.0,Ideal,D,SI1,62.8,55.0,6.3,6.38,3.98,5639
270,0.56,Ideal,I,VS2,62.1,54.0,5.3,5.33,3.3,1237
271,0.53,Ideal,G,SI1,62.7,55.0,5.15,5.19,3.24,1308
272,1.61,Ideal,G,VS2,62.2,56.0,7.57,7.5,4.69,9521
273,1.05,Very Good,E,SI2,63.2,59.0,6.43,6.36,4.04,4281
274,1.04,Fair,G,VS1,64.9,58.0,6.36,6.33,4.12,5633
275,0.3,Premium,E,VS2,62.9,58.0,4.27,4.22,2.67,844
276,0.53,Ideal,D,SI1,62.3,56.0,5.18,5.15,3.22,1683
277,0.3,Very Good,D,SI1,62.2,58.0,4.28,4.31,2.67,552
278,1.02,Ideal,G,VVS2,61.1,57.0,6.48,6.51,3.97,7898
279,1.04,Ideal,H,SI1,62.1,57.0,6.49,6.52,4.04,4801
280,1.21,Ideal,I,SI2,60.6,56.0,6.94,6.92,4.2,5184
281,2.54,Very Good,I,SI2,63.4,56.0,8.68,8.64,5.49,12095
282,0.56,Ideal,E,VS1,61.0,57.0,5.32,5.34,3.25,1978
283,0.4,Ideal,E,VVS2,61.7,57.0,4.77,4.73,2.93,1056
284,0.79,Ideal,E,VS2,62.2,55.0,5.9,5.97,3.69,3827
285,1.06,Premium,J,SI2,62.0,58.0,6.53,6.45,4.04,3823
286,0.27,Very Good,E,VVS2,61.9,58.0,4.1,4.14,2.55,575
287,1.01,Ideal,I,SI1,60.6,57.0,6.51,6.56,3.96,3999
288,1.0,Very Good,I,VS2,63.2,58.0,6.43,6.32,4.03,3265
289,1.02,Premium,D,SI2,60.9,61.0,6.39,6.31,3.87,4381
290,0.32,Ideal,I,VS2,60.3,56.0,4.45,4.44,2.68,576
291,0.82,Very Good,G,VS2,59.8,56.0,6.13,6.18,3.68,3535
292,0.3,Ideal,E,VS2,61.3,58.0,4.3,4.32,2.64,621
293,0.41,Ideal,H,VS2,60.7,55.0,4.83,4.86,2.94,1163
294,2.28,Very Good,I,SI2,62.9,57.0,8.34,8.41,5.27,16041
295,0.71,Premium,I,VVS2,61.4,56.0,5.79,5.75,3.54,2386
296,1.12,Premium,H,SI2,61.0,59.0,6.72,6.66,4.08,4077
297,0.72,Ideal,E,SI2,61.9,55.0,5.76,5.78,3.57,2398
298,0.31,Ideal,E,VVS2,61.1,56.0,4.38,4.39,2.68,864
299,1.03,Premium,G,VS2,62.3,59.0,6.38,6.42,3.99,6214
300,0.24,Good,F,VVS1,64.8,57.0,3.9,3.94,2.54,492
301,1.55,Premium,I,SI1,62.5,60.0,7.33,7.35,4.59,8866
302,1.31,Ideal,G,VS1,61.6,57.0,6.99,7.04,4.32,12008
303,1.02,Ideal,F,SI2,62.1,56.0,6.41,6.44,3.99,4162
304,0.83,Ideal,D,SI1,61.5,53.0,6.09,6.07,3.74,3933
305,1.19,Premium,E,VS1,59.8,58.0,7.01,6.94,4.17,9263
306,1.09,Premium,H,SI2,62.0,57.0,6.61,6.55,4.08,4700
307,0.71,Ideal,F,SI2,65.3,53.0,5.64,5.58,3.67,2445
308,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,648
309,0.39,Good,J,VS2,63.3,56.0,4.6,4.63,2.92,581
310,0.42,Premium,E,SI1,62.8,59.0,4.78,4.74,2.99,992
311,0.7,Premium,F,SI2,60.3,58.0,5.79,5.76,3.48,1806
312,0.58,Ideal,E,VVS2,61.8,57.0,5.37,5.4,3.33,2694
313,0.41,Premium,D,VVS2,61.9,59.0,4.75,4.78,2.95,1105
314,1.54,Ideal,H,SI2,60.9,56.4,7.43,7.45,4.53,9452
315,0.53,Ideal,E,SI2,63.0,57.0,5.16,5.13,3.24,1262
316,0.51,Premium,G,VS2,62.6,57.0,5.15,5.1,3.21,1443
317,0.52,Good,E,VS2,61.5,61.0,5.16,5.09,3.15,1660
318,0.45,Very Good,D,VS2,62.9,58.4,4.83,4.86,3.04,1311
319,0.5,Premium,G,SI1,62.6,56.0,5.1,5.06,3.18,1286
320,0.3,Ideal,G,IF,62.3,55.0,4.3,4.33,2.69,863
321,1.0,Good,D,SI2,64.0,59.0,6.29,6.24,4.01,3634
322,1.21,Ideal,F,SI1,61.1,55.0,6.87,6.85,4.19,6659
323,0.31,Premium,D,SI2,61.5,60.0,4.34,4.31,2.66,593
324,0.34,Ideal,F,VS2,60.8,57.0,4.51,4.54,2.75,699
325,1.52,Good,I,VS2,63.3,61.0,7.23,7.27,4.59,8778
326,0.41,Ideal,F,VVS1,62.3,53.0,4.8,4.77,2.98,1356
327,0.72,Very Good,G,VS2,63.1,57.0,5.74,5.71,3.61,2732
328,0.71,Premium,I,VS2,60.0,58.0,5.79,5.85,3.49,1952
329,0.9,Ideal,I,VS2,61.3,56.0,6.24,6.2,3.81,3805
330,1.01,Good,G,SI2,64.0,59.0,6.34,6.31,4.05,3461
331,0.44,Ideal,F,VVS1,61.5,57.0,4.9,4.86,3.0,1319
332,0.27,Very Good,E,VVS2,59.4,64.0,4.16,4.19,2.48,567
333,0.31,Premium,E,VS2,60.6,59.0,4.39,4.36,2.65,872
334,0.71,Ideal,E,VVS1,61.9,55.0,5.73,5.77,3.56,4027
335,0.4,Very Good,E,VVS2,61.0,55.0,4.77,4.81,2.92,1106
336,0.41,Ideal,E,SI2,61.5,58.0,4.79,4.83,2.96,654
337,1.01,Very Good,H,VS2,62.6,61.0,6.35,6.4,3.99,4821
338,1.01,Good,F,SI2,63.0,60.0,6.28,6.35,3.98,3827
339,1.51,Ideal,G,VS1,62.8,56.0,7.29,7.24,4.56,13811
340,1.27,Premium,F,VVS2,61.3,60.0,6.99,6.9,4.26,11905
341,0.74,Ideal,E,SI2,60.9,57.0,5.83,5.89,3.57,2594
342,0.33,Ideal,D,SI1,62.8,55.0,4.45,4.41,2.78,780
343,0.41,Premium,H,VVS2,62.2,58.0,4.74,4.71,2.94,961
344,1.52,Fair,H,I1,65.4,62.0,7.1,7.02,4.62,4648
345,0.43,Ideal,F,VS2,61.4,54.0,4.9,4.93,3.02,848
346,0.5,Very Good,E,VVS2,59.1,61.0,5.19,5.23,3.08,2106
347,0.51,Very Good,D,SI1,63.5,55.0,5.09,5.08,3.23,1574
348,0.51,Ideal,G,VVS2,62.1,58.0,5.09,5.12,3.17,1844
349,0.33,Very Good,G,VS1,61.3,57.0,4.47,4.49,2.75,681
350,0.32,Ideal,D,VS2,62.3,57.0,4.39,4.41,2.74,758
351,0.71,Very Good,G,SI1,61.6,61.0,5.7,5.72,3.52,2515
352,0.51,Very Good,D,SI1,63.0,58.0,5.05,5.07,3.19,1442
